"BT_EVT_Okae.1"	"BT_SCT_Okae.1"	"BT_TSC_Okae.1"	"BT_EVT_Okae.2"	"BT_SCT_Okae.2"	"BT_TSC_Okae.2"	"CT_EVT_Okae.1"	"CT_SCT_Okae.1"	"CT_TSC_Okae.1"	"CT_EVT_Okae.2"	"CT_SCT_Okae.2"	"CT_TSC_Okae.2"	"CT_EVT_Okae.3"	"CT_SCT_Okae.3"	"CT_TSC_Okae.3"	"n_H9.1"	"n_H9.2"	"nTE_D1.1"	"nTE_D1.2"	"nTE_D2.1"	"nTE_D2.2"	"nTE_D3.1"	"nTE_D3.2"	"nCT_P3.1"	"nCT_P3.2"	"nCT_P10.1"	"nCT_P10.2"	"nCT_P15.1"	"nCT_P15.2"	"cR_nCT_P15.1"	"cR_nCT_P15.2"	"nCT_P15_iPSC.1"	"nCT_P15_iPSC.2"	"CT_Okae.1"	"CT_Okae.2"	"nST.1"	"nST.2"	"nEVT.1"	"nEVT.2"	"pH9.1"	"pH9.2"	"pBAP_D1.1"	"pBAP_D1.2"	"pBAP_D2.1"	"pBAP_D2.2"	"pBAP_D3.1"	"pBAP_D3.2"	"CT_7wk.1"	"CT_7wk.2"	"CT_9wk.1"	"CT_11wk.1"	"amnion_18w.1"	"amnion_9w.1"	"amnion_18w.2"	"amnion_16w.2"	"amnion_22w.1"	"amnion_9w.2"	"amnion_22w.2"	"H1_gt70_D8_BAP.1"	"H1_gt70_D8_BAP.2"	"H1_gt70_D8_BAP.3"	"H1_lt40_D8_BAP.1"	"H1_lt40_D8_BAP.2"	"H1_lt40_D8_BAP.3"	"H1_Yabe.1"	"H1_Yabe.2"	"H1_Yabe.3"	"amnion_Term.1"	"amnion_Term.2"	"amnion_Term.3"	"amnion_Term.4"	"amnion_Term.5"	"amnion_Term.6"	"amnion_Term.7"	"amnion_Term.8"	"amnion_Term.9"	"amnion_Term.10"	"amnion_Term.11"	"amnion_Term.12"	"H9_Shao.1"	"H9_Shao.2"	"H9_Shao.3"	"H9_amnion.1"	"H9_amnion.2"	"H9_amnion.3"	"hESC_H9_untr_0h.1"	"hESC_H9_untr_0h.2"	"hESC_H9_BMP4_8h.1"	"hESC_H9_BMP4_8h.2"	"hESC_H9_BMP4_16h.1"	"hESC_H9_BMP4_16h.2"	"hESC_H9_BMP4_24h.1"	"hESC_H9_BMP4_24h.2"	"hESC_H9_BMP4_48h.1"	"hESC_H9_BMP4_48h.2"	"hESC_H9_BMP4_72h.1"	"hESC_H9_BMP4_72h.2"
"BT_EVT_Okae.1"	0	4.09184696373037	21.6296207248516	10.9635644882486	5.10539479582907	13.3382246972486	6.63060313854754	12.7585427907318	14.3062206794343	15.3081659084666	4.51202433641504	11.0605664240134	10.5019967809428	6.46221938667843	11.7861890888442	52.7096519413272	53.6344992118858	40.9373667203797	41.298314342417	25.6482438606332	26.5107894016074	26.9451267462102	26.8731296558172	15.4115713527396	14.0598526788661	13.4797764966025	14.1847199739432	13.4458328496103	14.1044925066498	10.5322652145173	10.8369711994309	12.8932276076882	12.0232091544463	10.9273698891902	11.8263424154116	17.3088070290609	17.4607609660786	5.21727845106095	5.64279600752731	65.6183511202582	67.0704227443877	53.1617549059074	53.4858261422243	38.5153619949424	37.3189281886858	27.8891702902465	26.9469071981418	18.5560499006205	16.6493627293756	18.4300337362734	21.2832805919486	83.5207166052228	72.3091717400085	82.5994676804824	66.360022260478	58.5466523121126	61.0851809421095	72.3570555102457	17.7981573784977	14.5448270157213	14.5520343236411	24.3896016122197	18.3797815590413	19.285920753556	45.5757649827436	65.67296920899	64.8671707030922	60.893218611874	59.8376247985281	62.6751639567039	61.7053245540356	59.0868855577462	56.7142857366111	57.1000227673786	58.0184676415564	57.9558721104586	55.9919301193749	58.7360743580945	60.4375591777139	58.9177592439637	60.208255474731	59.6228428394553	45.7846713601706	43.7925422524837	38.1713989994556	74.0067776040018	74.4693704003636	71.0630349976815	71.2207485481517	71.036955863061	71.1105662383328	69.2283989861501	67.8669086155922	57.3218376789129	54.0880961574352	50.2758099723182	49.9507452495682
"BT_SCT_Okae.1"	4.09184696373037	0	24.94535993097	14.350311220896	5.98682494555702	16.6750874432459	10.3321186171041	16.2816125836959	17.8560093894416	18.3496225450946	1.85353101952573	14.0817434204114	13.9819784280222	4.21326475905185	15.1295247375734	55.9828728530706	56.935419857012	44.2434158050057	44.6049039601088	28.9540868635685	29.8033839239457	30.514738726385	30.4150764019956	19.4435116378112	18.1069459328475	17.5702047469045	18.2765665495377	17.5113082694325	18.1617706696946	14.5974578594506	14.9051092336322	16.9056083563939	16.0398948830159	14.04115143485	15.0086442488505	14.7289387012266	14.9295327565658	7.5763842920684	7.01885834592885	68.9310905214756	70.3723203006234	56.5592071767338	56.853417327546	42.2115326492636	41.0205460848716	31.5361612427569	30.6000405397729	22.4781959208812	20.5003449340079	21.8670734154399	24.757191436644	86.7020362969422	75.4989927211124	85.7932146839732	69.6493250949517	61.4825964309668	64.4486680167485	75.576215905553	21.3990958564145	16.5845407125653	17.0602498744593	28.3597151704332	22.1445529182918	23.1337578193637	49.0841518748517	69.0455217396784	68.212574823192	64.5268681838956	63.3510127271279	66.215891673284	65.3190208059431	62.8121306776593	60.3046276795356	60.7084045178901	61.6268515646526	61.4494910570682	59.6317234146174	62.3302749128885	64.0612521269091	62.340620168131	63.5691929208241	62.9886148208548	49.3491747096386	47.4105083825036	41.9113123039089	77.4543297642066	77.9252840634639	74.4331565773725	74.6035878819304	74.4552941521597	74.4634488908435	72.4849082263256	71.081738685764	60.4655341830147	57.0787589063426	52.8725023206521	52.4713040486858
"BT_TSC_Okae.1"	21.6296207248516	24.94535993097	0	10.762180401077	25.4594907946202	8.85861532752527	18.9184924820264	17.5902034308103	7.50648949615259	8.87363006131824	26.0118162296494	11.6066359168795	13.8729290975752	27.61581060278	10.4112386745124	31.0936114025358	32.0306139557378	19.889051834197	20.2105493399363	7.39845069167691	8.41450713899157	7.36331202014238	7.15789269731577	10.8791468947619	11.6317538639347	14.1430203944624	13.8405053835457	14.6999911786025	14.4744777280058	16.1199889049778	16.0349918657334	16.6239432917641	16.4006237364718	17.8747623516112	16.9496110906787	38.3858662560937	38.4128784569942	23.6585707919291	25.2848907781092	44.2671366762576	45.7414427623295	32.6458096226467	33.12663325935	20.6089875554259	19.9005004818456	16.4363795012494	16.3088602094535	18.612612526413	19.1795713831023	24.5163764572803	25.7071790920778	74.8775978978979	62.2548624509902	73.9700508620001	59.5236668200457	56.5234820210859	50.7815970511003	66.2215698908085	22.5258008505355	27.9669744755463	26.220719837983	20.7404090676101	21.3187473118667	20.5871286839009	25.2171580112063	44.1369599959753	43.3997306986986	56.0400364366024	56.5255490591747	58.8470057747092	57.1464604083473	53.1435102761919	52.7521275858994	52.8039896678333	53.6643303832926	54.9633431734093	51.522858812185	54.6218295829284	55.8563146313475	38.2277808327722	39.6896786674551	39.2512053098664	28.4586506590786	27.0822737106719	25.3795332894851	57.1392611712855	57.4021625049807	55.3176119942118	55.4275415387397	55.6986702067244	56.0730311246185	55.4054231935564	54.4632023196039	49.3055618044097	48.6359183009534	50.0921788897883	50.6183187884098
"BT_EVT_Okae.2"	10.9635644882486	14.350311220896	10.762180401077	0	14.8547649210106	4.09537117916024	8.98668015500411	10.374985904554	3.83185841693652	5.42836771096908	15.3281114762156	4.30547471707971	5.09961524053071	17.1736252140589	3.55782318218595	41.8432434998684	42.7788300927737	30.447826107038	30.7893588685094	15.8491442383136	16.829376888915	16.7316361010449	16.6287606658081	8.01748692999933	7.20969697389144	8.71409519117963	9.06391237346204	9.00496840154955	9.27441955031689	8.55491529511527	8.64332185029536	10.2218502436977	9.45380826999648	11.0221340959213	10.7641186129611	28.0688695413643	28.1570970794322	13.6196719259712	15.0854608657458	54.980403782031	56.4497084182191	42.9788767801398	43.3901006109973	29.2779224793345	28.2540196996859	20.7996233154572	20.111751264885	15.4714450644043	14.7184447121976	19.0092143325311	21.0831823236571	77.9256715909574	65.9014366425732	77.0084287414692	61.5392642493968	55.991546132755	54.4754418913766	67.9574385602046	17.5241222463952	20.0459661623225	18.8115681460463	19.8646293002275	16.9747936897099	17.0233631039085	35.4102722273588	54.8664359715194	54.1361237407264	57.4938393066674	57.2971399036326	59.9537993523834	58.5389781171779	55.1011354233901	53.8399464264855	53.8980329677541	54.81040153803	55.4711810120225	52.732738058868	55.7570432079366	57.267566324627	48.6517361224726	50.0495746799672	49.5401987710741	36.9935577444077	35.2194910539984	31.0837977088722	65.7151237671897	66.0808134634767	63.313717048204	63.446596517259	63.4700452899786	63.7040232467237	62.4072169790458	61.2417681369269	53.1078010867888	51.0637589166495	49.7905903493846	49.88857591407
"BT_SCT_Okae.2"	5.10539479582907	5.98682494555702	25.4594907946202	14.8547649210106	0	17.5306971213516	7.38655898252352	12.9382028095173	18.0365009728301	18.7196713917276	4.63654252435865	15.6487299606394	12.8767658581691	6.39614506289515	16.0372950032226	56.3992758023799	57.2934205680628	44.7945287498656	45.1494011842638	29.6558298766747	30.5224035338395	30.5175642135181	30.4942206642557	17.8493731718614	16.4233917854647	15.0957237648029	15.8579527206717	14.7496887104842	15.3793352238356	12.1177986765183	12.3577678941495	13.6041626873536	12.8742318721846	13.9896738470636	15.0323926391428	15.0542770294083	15.3214275928724	4.92891079442774	4.24012121414783	69.3577119899248	70.8277323703867	56.8674452036731	57.2345688653736	41.6682805424738	40.4398602934191	30.7616022058591	29.7537709582221	19.2604941042835	17.1692818776616	17.1878603783621	19.854650660649	82.4226822099754	71.7500100858554	81.5017848149005	64.9707587077444	56.2045846623544	60.6915319218359	70.719616673526	17.3937437349566	13.3520229654737	13.826775612383	24.431761147782	18.1623243506717	19.3310722481967	49.1301615909439	69.2326786907509	68.521627218437	59.516395076547	58.3550050032872	61.3130376563174	60.3803505626323	57.9451579128236	55.5201402686321	55.6574498567116	56.5792229303788	56.3082979171835	54.6908224418633	57.402043187506	59.1919955185145	62.5646092944789	63.9479564057082	63.354926756939	49.0284119988063	46.8919084490564	40.5525660059209	77.1329996458715	77.6146354498547	74.1260189430458	74.2707964036484	73.9362398303756	74.0574110392459	72.0898674020033	70.7176609372617	59.07621755226	55.4204565115231	50.5721438346534	50.0553033129819
"BT_TSC_Okae.2"	13.3382246972486	16.6750874432459	8.85861532752527	4.09537117916024	17.5306971213516	0	12.0241610395518	13.4679921143172	2.79262627031922	7.66456044274546	17.7087278130308	3.04847689817269	8.89551828893833	18.9757119292149	1.5938183756118	39.6011564645391	40.5180550602428	27.6202670003232	27.9836596023001	12.4225482554812	13.3379786785794	13.9175797880829	13.7907444108014	7.50886061701265	7.31178752585317	9.44257922437663	9.4802676753184	10.2310071878705	10.4760500512832	9.58932547450497	9.68289530562662	11.6392344716872	11.1165274586229	9.81067513214249	9.1402969539928	29.627510600235	29.6316260321517	15.2798783241238	16.861470107754	52.3270506866184	53.769875824885	39.9370571611176	40.2708716353685	26.1487897045831	25.0890619026799	17.466417461834	16.8316899246601	14.9461490260268	14.4982099711362	19.685775051413	21.8468079628972	79.3465133022348	67.298802164352	78.4163987827445	62.9121780053181	57.838893662825	55.6937344429404	69.3783284997244	17.6232708269515	20.3452099841066	18.9095826917123	20.04391504311	17.1238777222584	16.9605647953425	32.4486306310123	52.5277359912541	51.6348682758301	57.3232467845875	56.9048477163314	59.4021863719061	58.1441971895439	54.8927884120331	53.2247513147682	53.8258262420357	54.7121262149438	55.3551591165679	52.4754706840096	55.3520615337129	56.7756039722798	45.6936813607559	46.9747250222156	46.4180085407806	33.5717473932139	31.8395112159731	27.9769302019427	62.1585050853001	62.5405369708797	59.6596122432935	59.8048584909925	59.8668681413088	60.0399116933797	58.686836547814	57.4997912940232	49.803758700435	47.985890626887	47.3702903219344	47.5975677859784
"CT_EVT_Okae.1"	6.63060313854754	10.3321186171041	18.9184924820264	8.98668015500411	7.38655898252352	12.0241610395518	0	6.25214106379499	11.7051350839923	12.4040314081744	10.2132071584588	11.1775448801659	6.09351612330051	12.284134471718	10.829882036222	49.4884729205274	50.3631983881864	38.2145266994043	38.5538005112995	23.6159226267374	24.534851008768	23.9151320010297	23.9183599003606	11.1007247189675	9.63930904180424	8.43863421740867	9.2497996205182	7.90742187807711	8.4583546131881	6.27197069904833	6.40372819316104	7.20924998728182	6.28604213885858	11.5329289752537	12.1084154689655	22.1096850836384	22.3021258176844	7.47480803691939	8.65186459979885	62.5572075032113	64.0454605741913	50.3167563812835	50.7616296853546	35.2906822201474	34.1348147804192	25.3175585431155	24.388043104991	14.1550118312711	12.490573731195	13.9696925203221	16.244972395992	76.9888412906698	65.8892590970279	76.060729014173	59.7657861715402	52.2197160903129	54.5971111748993	65.7950197529398	13.7558714826133	14.6256359390619	13.9296418517043	18.5091920039179	13.7312658096287	14.5119153518469	42.4990887497169	62.2375011003706	61.6215264270195	55.1312182431205	54.5545820466534	57.4598653501858	56.1954583647424	53.1907555476732	51.527292242737	51.3366087243757	52.2697439560701	52.4631569005057	50.3587858603864	53.3100036770943	55.0153855690446	55.9221241115441	57.424997807343	56.8726223793838	43.0129843921075	40.9106869210095	35.0055180566548	71.4617600502691	71.8893850938506	68.7813553933844	68.9025018706193	68.6271461954172	68.8850041732775	67.2702043718609	66.0230148045228	55.4480911712054	52.4194033402387	48.9696366010925	48.6964047535351
"CT_SCT_Okae.1"	12.7585427907318	16.2816125836959	17.5902034308103	10.374985904554	12.9382028095173	13.4679921143172	6.25214106379499	0	11.8353190310319	11.3243132561091	16.1761321991157	13.9693817321002	5.79927521934922	18.4399642580474	12.9165823402432	46.5422917628498	47.3761229941873	36.1741035339004	36.4760967479747	23.0306968080659	23.9802486157189	22.2544275119782	22.3198973375985	10.0189511775544	8.8543941850251	7.54481240421643	8.20656645986432	6.30862142499433	6.29975091591449	7.98952917681363	7.81306473030363	6.1122037141823	5.56320716312334	15.5820452385634	15.7826603925509	27.8212937194402	28.0501847750121	13.3506956532646	14.5371088505182	59.804911786403	61.3220836323274	48.1178161505222	48.6965556535223	33.3504019467476	32.3138931773995	24.8712712455141	24.0524825788841	13.3449915849515	12.4333982203782	13.5198043044186	14.5722682283751	70.8294182105157	59.6433740408041	69.9045064637811	53.8014897684349	46.8272298417136	48.3589360808879	59.9288197719528	13.8221666151925	18.5318963052759	17.4076872673805	14.7177138624429	12.8866546138304	13.264559866384	40.2225886621558	59.0410440605974	58.6567983412811	51.062839326632	51.2094213384336	54.1724926340134	52.4942073476111	48.8935925443936	48.3135985964063	47.3006702976344	48.2492299438516	48.847002774581	46.5185238362875	49.7556320071894	51.4415544198643	53.4928013739516	55.2075734378443	54.7218107282995	41.4652072919417	39.3602972052209	33.6593434489644	69.9494099204972	70.3195705720009	67.6417349715609	67.7257714912189	67.4246847392489	67.8715765215773	66.6174433680357	65.5139763084013	55.4452130457102	52.7988747844522	50.0039020560414	49.8200083337358
"CT_TSC_Okae.1"	14.3062206794343	17.8560093894416	7.50648949615259	3.83185841693652	18.0365009728301	2.79262627031922	11.7051350839923	11.8353190310319	0	5.84538911821877	18.7684632175962	5.43188564162511	7.58996253183623	20.3342986310685	3.76431331127039	38.4643121021542	39.3720916622181	26.8735561140609	27.2195924818627	12.277112454228	13.2637450827497	12.9468189717021	12.8596444524926	6.01400076991505	5.91647641207717	8.24699872209057	8.24825020627887	8.84518704330716	8.92063390738167	9.24831908545525	9.2430206489556	10.5137436515744	10.0409350613607	11.5166093178703	10.877665232964	31.0479484901092	31.0921258028585	16.1737111628642	17.791728560932	51.4351351632462	52.903554905838	39.2806889346944	39.6963360887833	25.4599006305617	24.4504912844809	17.4640726564116	16.8660771495743	14.2079231393582	13.9842279250559	19.0035074973578	20.8136852704472	76.60003593057	64.5181615175932	75.6731286007511	60.2695613838719	55.4020770121427	52.933625081122	66.7638128873589	17.1594774022404	21.172127467856	19.6258778368552	18.2583581992262	16.3459181477239	16.0634698447491	31.6596117156116	51.38187170222	50.616014582176	55.5625432617731	55.4476825860474	57.9875820508439	56.5500103631794	53.0444170640591	51.8406372468311	52.0673869583656	52.9623362599162	53.7632072470467	50.8096302307118	53.8142893637203	55.2406996364096	44.953884552785	46.3650713721854	45.8436544708527	33.2278765945192	31.4667599667959	27.6062879957877	61.9882213487268	62.3432078258443	59.6665186178453	59.7925701593925	59.8306252720286	60.1022382132553	58.9167433768309	57.7962603506531	50.1908022881968	48.4816789987067	47.9865362349827	48.2206308978727
"CT_EVT_Okae.2"	15.3081659084666	18.3496225450946	8.87363006131824	5.42836771096908	18.7196713917276	7.66456044274546	12.4040314081744	11.3243132561091	5.84538911821877	0	19.3690338669106	8.94599558403846	6.49765458658563	21.674787318136	8.13406629892668	38.8350985175427	39.80368619128	28.5133244122206	28.8104122172487	15.7397554302465	16.7852607718666	15.8293419294699	15.7060976638757	10.2443982331951	9.84191652780289	11.5375984255496	11.7713398385773	11.4683817075274	11.3980913112457	12.5800534284361	12.5432443302164	13.0026960264336	12.3446662085404	16.2900270021413	15.912281636602	32.6139697270323	32.7609561720454	18.3812350385824	19.7502253758172	52.4740931029821	53.9681356899465	41.339756372326	41.871012181998	28.8943357102441	28.0757289997291	22.6021344667835	22.108529933128	18.3872038595245	18.0874883866575	22.1295109912981	23.5691271776172	74.6958559851448	62.2227500208849	73.8059523977786	59.0740926564555	54.4648607232758	51.0370132794934	65.6304887101433	20.9524499855068	24.9307307578638	23.6117902691852	20.7159358310301	19.9433614090296	19.7507008714828	33.8803759832281	51.9532409229465	51.4316058595976	57.7139267937849	58.2232076097129	60.8942288064498	59.0997763020261	55.056738769365	54.854302516183	54.1929803334909	55.1120147370845	56.1863447005664	53.2028403109913	56.4775833733288	57.9412471987981	46.8226981453175	48.3698334160156	47.9692152484248	36.9362112799864	35.352254527876	32.2281419903749	65.734899436987	66.0203298191801	63.7757071437479	63.8849572556047	64.0281314541557	64.3954971883419	63.5090817585629	62.4848831929756	55.5674477884146	54.0233285465509	53.5394113924535	53.7360871216283
