"BT_EVT_Okae.1"	"BT_SCT_Okae.1"	"BT_TSC_Okae.1"	"BT_EVT_Okae.2"	"BT_SCT_Okae.2"	"BT_TSC_Okae.2"	"CT_EVT_Okae.1"	"CT_SCT_Okae.1"	"CT_TSC_Okae.1"	"CT_EVT_Okae.2"	"CT_SCT_Okae.2"	"CT_TSC_Okae.2"	"CT_EVT_Okae.3"	"CT_SCT_Okae.3"	"CT_TSC_Okae.3"	"n_H9.1"	"n_H9.2"	"nTE_D1.1"	"nTE_D1.2"	"nTE_D2.1"	"nTE_D2.2"	"nTE_D3.1"	"nTE_D3.2"	"nCT_P3.1"	"nCT_P3.2"	"nCT_P10.1"	"nCT_P10.2"	"nCT_P15.1"	"nCT_P15.2"	"cR_nCT_P15.1"	"cR_nCT_P15.2"	"nCT_P15_iPSC.1"	"nCT_P15_iPSC.2"	"CT_Okae.1"	"CT_Okae.2"	"nST.1"	"nST.2"	"nEVT.1"	"nEVT.2"	"pH9.1"	"pH9.2"	"pBAP_D1.1"	"pBAP_D1.2"	"pBAP_D2.1"	"pBAP_D2.2"	"pBAP_D3.1"	"pBAP_D3.2"	"CT_7wk.1"	"CT_7wk.2"	"CT_9wk.1"	"CT_11wk.1"	"amnion_18w.1"	"amnion_9w.1"	"amnion_18w.2"	"amnion_16w.2"	"amnion_22w.1"	"amnion_9w.2"	"amnion_22w.2"	"H1_gt70_D8_BAP.1"	"H1_gt70_D8_BAP.2"	"H1_gt70_D8_BAP.3"	"H1_lt40_D8_BAP.1"	"H1_lt40_D8_BAP.2"	"H1_lt40_D8_BAP.3"	"H1_Yabe.1"	"H1_Yabe.2"	"H1_Yabe.3"	"amnion_Term.1"	"amnion_Term.2"	"amnion_Term.3"	"amnion_Term.4"	"amnion_Term.5"	"amnion_Term.6"	"amnion_Term.7"	"amnion_Term.8"	"amnion_Term.9"	"amnion_Term.10"	"amnion_Term.11"	"amnion_Term.12"	"H9_Shao.1"	"H9_Shao.2"	"H9_Shao.3"	"H9_amnion.1"	"H9_amnion.2"	"H9_amnion.3"	"hESC_H9_untr_0h.1"	"hESC_H9_untr_0h.2"	"hESC_H9_BMP4_8h.1"	"hESC_H9_BMP4_8h.2"	"hESC_H9_BMP4_16h.1"	"hESC_H9_BMP4_16h.2"	"hESC_H9_BMP4_24h.1"	"hESC_H9_BMP4_24h.2"	"hESC_H9_BMP4_48h.1"	"hESC_H9_BMP4_48h.2"	"hESC_H9_BMP4_72h.1"	"hESC_H9_BMP4_72h.2"
"BT_EVT_Okae.1"	0	38.0538649053387	53.9288991914198	39.3956474436823	46.9274125699406	52.7894777026135	34.4687323254606	48.1732368334695	51.1410114263383	40.2546764891006	47.7177625589798	49.3126171801407	37.3318381681829	37.8211026803892	48.9625818790189	70.3331816943251	71.2608800761338	63.1594863955292	63.1044971351622	55.6381825839362	55.998910907349	56.1929771792427	56.2009950758162	49.0172918315284	49.4521768511702	51.0590292120784	49.9822303218812	51.0180775405797	50.7915336983902	50.7782491071538	50.3281257967134	47.8095524077329	48.4725948291479	55.5151697695794	55.4832879851519	49.3260166207315	48.0145260537725	39.195661722363	38.9158051906506	76.5288408470035	77.6371094430334	69.41966318327	69.9309759970698	62.6990136656639	61.7378990099078	57.4394245970441	56.4951203040904	54.2617651162477	50.8133755367243	57.998331708422	61.1256391349646	98.3610593043428	93.167519421243	96.4232143845066	89.0431661172739	85.5791212222339	87.5882341584362	91.0823307582429	46.8136669983999	47.8736112434212	46.4259422431278	51.7953269823021	45.4637249120721	47.0628752259879	64.9978341172685	77.4200928720982	76.4341502447399	80.3967144403756	74.0371075826331	75.9460822575924	78.4696403882337	77.6260328021561	75.8281137200953	74.0374780581144	72.4225776745104	74.7070704018276	74.9322893158619	74.9279500527288	77.9451281063118	75.2495698670513	75.2336393408339	74.4605307769951	68.0259993472073	68.5008845421301	70.5311674189769	84.8606175732138	85.6452538230703	80.3726047434322	80.9853336438225	81.2156475261906	80.3685971306747	79.2622486841835	77.8987816002983	74.7624115348079	74.0072781704871	73.8303933927107	73.8354046396669
"BT_SCT_Okae.1"	38.0538649053387	0	61.4634502315268	54.7296879109651	34.427048868764	58.716771109858	50.2626918549397	53.3712972375441	60.245568098682	57.102988844331	32.4096782040107	54.4039876376776	57.0504077776922	30.1030089793332	55.5529174224419	76.3430722959742	77.1797047430785	67.1380750750505	67.0526786083686	60.0697609222321	60.292681862888	63.760819550298	64.2777401380198	57.8196878652302	58.5510614551482	59.2913265524927	57.7696203741717	58.915857891022	59.399347376507	59.4920404934042	59.7574069915621	55.8760052562059	56.144980201723	60.9540878910191	60.9992882276168	47.1091611317979	46.2788986330404	49.9774016840898	50.3697515259371	82.4860268644566	83.6156333783641	74.8561541746803	75.2522030618935	69.6538439274076	68.5437710548382	64.4342626252885	63.4314359765451	61.2747247510865	58.5631110775645	66.0797097702131	66.6648848469785	101.913594803849	97.1780396450002	100.966446667927	92.790798356254	92.0994304480625	90.1666373021461	95.3934795565936	52.1936787620843	47.6789096948698	47.3716076126763	59.5220020464849	53.8891367616895	55.352305989157	71.5544423245201	83.7516567430385	82.2984114163131	88.1402065233948	79.7341280916369	82.8701991863504	86.3281186564973	83.553903255779	83.6163134184693	80.1281005400099	79.2880346148565	79.2904758985757	80.6093969103819	80.1170735816692	82.1417935907629	80.2237648329503	81.3952187518011	81.0315581966923	74.2203377169757	74.4293021577877	77.0557935780126	88.6847717851771	89.1545466845578	85.3063085182746	85.6951243011933	86.451148572948	86.4038675658271	84.7669814646775	83.4372424441132	80.5513866827837	80.4640287638549	79.7261452695786	79.7613491171104
"BT_TSC_Okae.1"	53.9288991914198	61.4634502315268	0	58.1075273520789	67.5780533536776	25.7909355866219	51.4534829665121	57.0236132344967	30.8608809295372	58.2391357559905	69.7939076151803	29.0220322131625	61.2071190681768	58.9694263239977	29.7808842818579	58.834426471025	59.4145416070705	52.4567035366403	52.5313601253973	50.3796585537394	50.5837169264605	42.5778092605555	42.8598904875335	42.978043105442	44.3667879261345	46.0331563575928	44.7768527527352	47.3306453540671	47.388786800353	47.2150453947174	47.2032221082287	48.5889589805304	48.9625263502163	45.4705863599829	44.2022898925228	69.967218195819	70.1225796425511	56.9010216089599	57.5191129067762	63.7188131999706	64.3148972333484	57.6218624264445	57.8676637199322	53.2317481148648	52.6085777603685	51.8442984731561	51.3579024022611	52.5381069136896	52.0325188811855	61.0573526478181	61.8682872836863	95.4662465239164	89.2491592277309	93.1295730321752	85.9562424983584	91.8014471890496	79.4807372635041	90.2803127203521	53.4555250237382	61.687919497248	59.0786863551473	52.717400247187	52.3060712872829	51.1067608002476	50.9039000937498	62.9913505220507	62.2521279995174	78.7146018887899	72.6346746505943	73.8698283227519	76.0642351594251	77.1156705353001	72.0293455409963	70.416136514737	68.5078150863324	71.9197382282211	71.2514978337828	71.5398498849842	74.0066015608024	67.8142109262353	67.7328074183548	68.114790815898	61.5045957333167	61.817423213558	65.2438000708035	74.7173912711557	75.2335359787822	71.4592062876256	72.1247355827488	74.8725542514349	72.9650922698076	74.3015220940285	72.536714036008	72.5895114405923	73.1341378889209	73.9179816128437	75.3440940595243
"BT_EVT_Okae.2"	39.3956474436823	54.7296879109651	58.1075273520789	0	51.6383640983888	54.2960617232071	45.3142438281267	56.8807610330299	54.2532683737614	26.660052894782	56.0024099014894	53.8556937362119	36.4930965023387	51.6789777974629	50.8778564053048	63.3909608415996	64.7828157986536	59.4310840346292	59.2045442071629	55.1849616034429	55.6631710023635	53.3602616374007	52.977348380135	49.4599910747277	49.6598681199665	51.2557361462603	51.0078476276236	49.5618325001794	48.8281617825898	50.5697141216909	50.4284001935701	48.613017610995	48.1456781813773	60.4196371496816	60.1794473033159	56.8348825503677	55.622633414423	43.6923197645414	43.358109205678	72.5022524807215	73.1033008236531	67.1177182899608	67.0347188950769	63.8084175697418	62.8618598967425	62.3375541022358	61.0886884657112	57.3286909719215	55.0995435122928	60.4543013937759	66.5368992977689	95.5583502486113	91.8145699166115	93.9207046856786	89.1050499997476	91.0997318370848	89.5269549395565	92.3588415130847	57.3578019179833	58.97650343803	57.8508951756771	59.5654325951903	55.8074209259342	56.6269927232628	63.0278669540358	71.1893181751587	70.9584789135479	77.202062568047	74.4677323807351	76.20005019016	77.1466851090875	74.7569728025658	75.8938067359793	73.0285718184386	74.3521252120744	76.1550251992557	73.7662333812759	74.4593703934368	75.3793303075953	72.0871901239993	75.1381177040732	74.0077757116433	65.6109179180326	66.3193705981177	71.4731531196924	79.9476230136606	80.5214108674276	75.8810847886522	76.5982595537874	77.4948319789386	75.8073720182893	76.6814354320776	74.9339139884169	75.9693954251372	76.6375887835104	78.640171108305	78.8082256372325
"BT_SCT_Okae.2"	46.9274125699406	34.427048868764	67.5780533536776	51.6383640983888	0	60.1284308704128	51.1313035803046	54.5119088577262	61.0111478579444	58.7610214759123	30.4029512729858	58.4841474088539	55.6166477446186	34.6815464540473	56.6170201211495	77.5493748968509	78.7135808765171	69.9450429893041	69.9076038740016	62.8566167152672	63.3715844872573	66.5167424107251	66.7083535030937	59.8543040024135	59.9969254557744	60.1037247022934	59.2624155497927	58.5184402518074	59.0344075684798	59.2445676704429	59.6850013790399	55.3063268900823	55.3446623946357	65.1702899696006	65.0266106612972	47.5274238583497	46.1262969313753	50.4580188724524	50.2780212914212	84.2275207968419	85.5937470856528	77.7369285454665	78.2251972879269	72.1175905581949	71.06366798456	67.7104167609085	66.6646181316551	62.3079894110544	59.5611637035069	61.3696441695049	65.4649851678024	96.709876395005	93.897860709631	97.2142086215485	90.0578718380562	91.2823447186163	90.9520802484451	92.139548859131	54.7046614153637	49.9045000589369	50.1135634651568	61.6506944530579	57.5397457867722	58.5492061527574	74.7634522738932	86.062877756928	84.9599662764989	84.0506258593982	79.8757453099994	81.1866243526282	81.8087212968305	79.6539824521215	82.2575879186814	78.5709910154717	80.4216106447133	79.3331043402118	79.5396461645636	79.4825081654648	79.3636953791728	80.0430234253518	83.1686734200973	82.741596645617	74.4887615031831	74.3470186356325	77.1927106321516	88.8819646397735	89.342280966286	85.5285893673405	85.8643310061848	86.0642788762474	86.2315167618843	84.2180522338937	82.9984821638671	79.9750267936376	79.5682261194459	79.6921008457856	79.4267585583875
"BT_TSC_Okae.2"	52.7894777026135	58.716771109858	25.7909355866219	54.2960617232071	60.1284308704128	0	47.6261468028315	55.4176291191572	22.3387970306121	58.6479199015993	65.0809974822886	21.9066770873805	59.0313909664025	52.6588785770466	16.9126780110982	62.1867409312891	63.2810128768261	54.1586952283936	54.309586122325	49.0859178795002	49.1969194741636	44.2041042897752	44.147658077457	40.5341357302273	42.0416577083742	42.4294891141651	41.337130325212	42.7351553407281	43.2913120623504	42.4877014664711	43.1459129877915	43.4221979108386	43.4314528585798	44.193753500904	43.2319770460341	61.4385519346502	61.7464870788282	50.4183648930515	51.1071349252142	68.2509738039059	69.1326079805787	60.858956012584	61.2042144433039	54.9293050616816	54.0363871851935	51.1067278779618	50.4056851389979	50.1484299587453	49.4325683572047	55.7775050712812	59.392366689436	96.5104013361314	90.6954941075275	94.9652855428243	85.6543777159718	91.205208219622	82.6674511101095	90.2119503205413	50.7678721756936	56.5641843460925	54.3593761065278	52.5527809228839	50.7778662363463	49.9495175136849	53.8189206007699	69.5172410407588	68.4277811378057	77.8036578837758	73.2292848149029	72.6974185007194	75.5885382666596	76.202433133912	73.7459720356059	70.4514029058145	71.1527022796508	72.6214758737084	70.4022396679141	72.7420891488248	72.1490153422323	69.6656200156829	70.5964146215452	70.7757130247665	59.9727757189937	59.8167605333515	63.0252747768877	76.7054961243289	77.3639535083725	73.0621403663352	73.8950470139217	76.015713663776	74.318400725791	74.5113215577446	72.495721857178	71.2120611690967	71.1641418497164	70.284549248099	71.4597922337129
"CT_EVT_Okae.1"	34.4687323254606	50.2626918549397	51.4534829665121	45.3142438281267	51.1313035803046	47.6261468028315	0	31.8950609841714	44.7533735148443	47.5228722849954	56.3626326706356	50.4302323083675	41.704128283814	43.4580884094744	44.6575403802527	68.3352676226176	69.2536237237123	64.1355177300759	64.0765581013428	58.6536582493955	59.0794868327977	54.8136116877492	54.8555296688337	43.159968276516	43.9431304615866	43.4947331340763	42.0099412816282	43.1284423149824	43.3128364677169	44.1214427712925	44.3412492741047	39.8980632644374	40.0023927247375	50.5954305538378	51.0471899131869	50.6197454062521	50.015767522771	40.7844163946085	41.0188649757598	73.8220262897645	74.8707880902626	69.364578336707	70.0760884446742	63.2970067674719	62.8049449454062	59.2308527673998	58.5160994053238	57.5193535087386	54.9008406725102	56.6016450311799	62.1127515541238	92.0450752190422	90.9468493594622	90.7926153066579	84.3534689316336	84.0464709479859	85.5318114824561	84.6423478350976	49.2060919371465	54.4833474006037	52.4597705742296	50.4049677709909	48.3189465572433	49.0970134978872	63.8772610907087	76.3913687970398	75.8494254059776	73.9558293716431	72.8001041555826	72.3055226035613	74.1650355586389	71.8158024766124	73.411716036655	69.3218336180842	71.5728922148108	71.8769477510112	70.8196710209431	72.9007856322329	71.2163803127948	71.9363456065073	72.6090248911271	71.9023409867028	67.9846701398718	67.5510188326026	69.1250699941699	81.7512078621092	82.5540581760061	78.129648585917	78.2670610058505	78.5154776530133	77.6695167837522	78.2304310409734	76.7719094009146	74.3889360353971	73.7840552097903	73.1901215933024	73.2121964861186
"CT_SCT_Okae.1"	48.1732368334695	53.3712972375441	57.0236132344967	56.8807610330299	54.5119088577262	55.4176291191572	31.8950609841714	0	52.3915863035252	56.7290064177237	58.607490605561	59.6233171210146	50.9250460014078	49.557109242592	53.9097860733774	68.8178925352292	69.0619330619613	65.7966420169938	65.8351301917465	64.1420760556211	64.5479928802694	60.3352542082525	60.5095587585617	50.3913671515455	52.0805291643349	50.7989825803132	48.4882156861418	50.4961454733561	50.7963024455516	52.9329094380523	52.8501582513492	47.2940006698187	47.962063142773	53.6634102974682	54.1940639214124	55.4652005357092	54.7484563955349	53.8538034986488	54.1733334740677	74.2500213839915	75.4332248994296	70.5424528681443	71.3297145487104	66.5298702761334	66.3068359250942	63.8025931897045	63.3371446567018	63.1555061013782	60.922434774154	63.1406248944774	67.1508175459066	90.7952924811561	91.1630097465727	89.042323148172	83.559417461494	86.4888195178558	86.3118868504015	82.4224762470127	54.4059258954208	62.0617828973006	60.3596865644244	54.137193833107	54.9762790358027	55.7481107525717	66.9909389723362	78.5904244218744	78.1752032803457	75.7886317889976	73.7489620620118	73.7674435605706	76.3672413342176	72.0795556992921	75.507698391963	70.7447851710434	73.3965882845714	73.2831285642148	72.78936284446	73.0094005964111	71.1749388802091	74.8202337241553	75.6440799833085	75.6574849984041	72.4519949335554	72.3996832641404	73.3914956743939	83.9143080712664	84.5830881699752	81.4935677590663	80.8199915186833	81.7821318716639	81.6364260761027	82.1777975628228	81.0119829625612	78.4253676480607	78.6855266878393	77.5608255241144	77.5790218889987
"CT_TSC_Okae.1"	51.1410114263383	60.245568098682	30.8608809295372	54.2532683737614	61.0111478579444	22.3387970306121	44.7533735148443	52.3915863035252	0	57.9602559797405	66.1451653003178	26.8245049972036	57.0618054475221	54.4455383747119	22.8209286971836	61.9199067115831	63.0601966545063	55.4363181018578	55.5371346376636	51.3754065794298	51.4934282378413	46.3908829318159	46.2096488636809	41.5220763260311	43.0350280696561	44.0872821827045	42.4714008489053	44.2050603823822	44.6595347240731	43.6986208969423	43.9271044927322	43.7521230095482	44.0433290084658	45.3746612475065	44.3135673789346	62.1413889119298	61.8814631550561	50.6115372233948	50.8856285103826	67.4463947514591	68.4743223740313	60.0242275023071	60.6166675661585	54.6719034432102	54.1118745973013	51.6939405218294	51.150126514166	52.2074317271541	51.2325583464176	55.7557584741523	60.3183085784704	94.1423622268062	89.1275838701697	92.9158421515579	83.6786638972246	89.2023173130368	83.139521759922	87.860007381667	51.3779050358959	58.0553934610357	55.8920313226441	52.583656418396	51.7221715826974	50.7499534702217	55.1418937320893	69.5756307435791	68.6183357250255	76.5353289362978	72.4605923234967	71.6617349128738	74.8978337933126	75.1868548875793	74.148587332512	69.6813982408727	70.3322446914574	72.4177064403374	70.1663707817035	72.9126332910071	72.1936129072148	69.8333395460209	69.891887508017	69.8642110160262	61.536623178996	61.2031101735089	63.217131763165	77.1383415648179	77.5537994292734	73.6663495743915	74.1290725572388	75.8279600764226	74.2718233226935	74.7003618597207	73.1193952214201	71.1764980625037	70.9238760224393	71.3316545692922	72.6707433332462
"CT_EVT_Okae.2"	40.2546764891006	57.102988844331	58.2391357559905	26.660052894782	58.7610214759123	58.6479199015993	47.5228722849954	56.7290064177237	57.9602559797405	0	56.8666553139061	55.6652373189217	40.0348103226736	56.9033998604661	55.7725227143318	63.3205777806508	64.4460875093829	61.6516903921857	61.3195128318432	59.0758872960482	59.5045737105135	55.618860479411	55.5369146105869	52.6080290894147	53.211881354752	55.0018703189326	53.9171830130928	53.9216673127344	53.1221375452486	55.1446667548175	55.0371102505501	52.9762080870929	53.2136842652584	63.0366439428622	62.8105353771617	63.6463318739952	62.1199179290581	48.6576430274627	48.6567502608226	72.0664399005101	72.7270654169762	68.8456464213872	69.0067964349174	66.2767727464935	65.6006627738963	65.5010633793726	64.462796556463	58.6498191075654	55.8585874476816	65.6566062532096	68.4071094306958	96.1527968025617	91.4590901153189	93.2876502306665	90.5417068133919	90.1966304928134	88.2880116357062	92.5160367823891	59.3007428107793	63.0512960406639	61.5518936959584	59.5667015148705	57.4913324982798	58.0820525752039	63.7592037671436	69.2734359242484	68.8768670196201	79.7067507127016	75.5470307043815	78.2975057219591	79.9694004975566	76.3037950939529	76.5647344371266	75.9827950589457	75.123113182048	77.9105714209209	75.854488077711	75.6622073325846	78.1750825241301	72.6086734584638	75.6530309085889	74.8230701712265	69.1639816677295	69.9871887487738	75.219148795432	81.2749210647559	81.7731610338276	78.3072449646099	78.8695650988955	79.235463404427	77.8867920382676	79.2470928742412	78.3408571012832	80.2023321940236	81.0666996010482	82.6367837390227	83.0855610149326
