name	authors	group.1	group
cR_nCT_P15.1	Io et al.	cR_nCT_P15	cR_nCT_P15_Io
cR_nCT_P15.2	Io et al.	cR_nCT_P15	cR_nCT_P15_Io
CT_11wk.1	Io et al.	CT_11wk	CT_11wk_Io
CT_7wk.1	Io et al.	CT_7wk	CT_7wk_Io
CT_7wk.2	Io et al.	CT_7wk	CT_7wk_Io
CT_9wk.1	Io et al.	CT_9wk	CT_9wk_Io
H1_40.70_D8_BAP.1	Yabe et al.	H1_40.70_D8_BAP	H1_BAP_D8_40-70_Yabe
H1_40.70_D8_BAP.2	Yabe et al.	H1_40.70_D8_BAP	H1_BAP_D8_40-70_Yabe
H1_40.70_D8_BAP.3	Yabe et al.	H1_40.70_D8_BAP	H1_BAP_D8_40-70_Yabe
H1_gt70_D8_BAP.1	Yabe et al.	H1_gt70_D8_BAP	H1_BAP_D8_>70_Yabe
H1_gt70_D8_BAP.2	Yabe et al.	H1_gt70_D8_BAP	H1_BAP_D8_>70_Yabe
H1_gt70_D8_BAP.3	Yabe et al.	H1_gt70_D8_BAP	H1_BAP_D8_>70_Yabe
H1_lt40_D8_BAP.1	Yabe et al.	H1_lt40_D8_BAP	H1_BAP_D8_<40_Yabe
H1_lt40_D8_BAP.2	Yabe et al.	H1_lt40_D8_BAP	H1_BAP_D8_<40_Yabe
H1_lt40_D8_BAP.3	Yabe et al.	H1_lt40_D8_BAP	H1_BAP_D8_<40_Yabe
nCT_P10.1	Io et al.	nCT_P10	H9_nCT_P10_Io
nCT_P10.2	Io et al.	nCT_P10	H9_nCT_P10_Io
nCT_P15_iPSC.1	Io et al.	nCT_P15_iPSC	iPS_nCT_P15_Io
nCT_P15_iPSC.2	Io et al.	nCT_P15_iPSC	iPS_nCT_P15_Io
nCT_P15.1	Io et al.	nCT_P15	H9_nCT_P15_Io
nCT_P15.2	Io et al.	nCT_P15	H9_nCT_P15_Io
nCT_P3.1	Io et al.	nCT_P3	H9_nCT_P3_Io
nCT_P3.2	Io et al.	nCT_P3	H9_nCT_P3_Io
nEVT.1	Io et al.	nEVT	H9_nEVT_Io
nEVT.2	Io et al.	nEVT	H9_nEVT_Io
nST.1	Io et al.	nST	H9_nSCT_Io
nST.2	Io et al.	nST	H9_nSCT_Io
BT_EVT_Okae.1	Sheridan et al.	BT_EVT_Okae	BTS_EVT_Okae
BT_SCT_Okae.1	Sheridan et al.	BT_SCT_Okae	BTS_SCT_Okae
BT_EVT_Okae.2	Sheridan et al.	BT_EVT_Okae	BTS_EVT_Okae
BT_SCT_Okae.2	Sheridan et al.	BT_SCT_Okae	BTS_SCT_Okae
CT_EVT_Okae.1	Sheridan et al.	CT_EVT_Okae	CT_EVT_Okae
CT_SCT_Okae.1	Sheridan et al.	CT_SCT_Okae	CT_SCT_Okae
CT_EVT_Okae.2	Sheridan et al.	CT_EVT_Okae	CT_EVT_Okae
CT_SCT_Okae.2	Sheridan et al.	CT_SCT_Okae	CT_SCT_Okae
CT_EVT_Okae.3	Sheridan et al.	CT_EVT_Okae	CT_EVT_Okae
CT_SCT_Okae.3	Sheridan et al.	CT_SCT_Okae	CT_SCT_Okae
org.EVT_Okae.1	Sheridan et al.	org.EVT_Okae	org_EVT
org.TOM_Okae.1	Sheridan et al.	org.TOM_Okae	org_villous
org.EVT_Okae.2	Sheridan et al.	org.EVT_Okae	org_EVT
org.TOM_Okae.2	Sheridan et al.	org.TOM_Okae	org_villous
org.EVT_Okae.3	Sheridan et al.	org.EVT_Okae	org_EVT
org.TOM_Okae.3	Sheridan et al.	org.TOM_Okae	org_villous
org.EVT_Okae.4	Sheridan et al.	org.EVT_Okae	org_EVT
org.TOM_Okae.4	Sheridan et al.	org.TOM_Okae	org_villous
