name	authors	group
BT_EVT_Okae.1	Sheridan et al.	BT_EVT_Okae
BT_SCT_Okae.1	Sheridan et al.	BT_SCT_Okae
BT_TSC_Okae.1	Sheridan et al.	BT_TSC_Okae
BT_EVT_Okae.2	Sheridan et al.	BT_EVT_Okae
BT_SCT_Okae.2	Sheridan et al.	BT_SCT_Okae
BT_TSC_Okae.2	Sheridan et al.	BT_TSC_Okae
CT_EVT_Okae.1	Sheridan et al.	CT_EVT_Okae
CT_SCT_Okae.1	Sheridan et al.	CT_SCT_Okae
CT_TSC_Okae.1	Sheridan et al.	CT_TSC_Okae
CT_EVT_Okae.2	Sheridan et al.	CT_EVT_Okae
CT_SCT_Okae.2	Sheridan et al.	CT_SCT_Okae
CT_TSC_Okae.2	Sheridan et al.	CT_TSC_Okae
CT_EVT_Okae.3	Sheridan et al.	CT_EVT_Okae
CT_SCT_Okae.3	Sheridan et al.	CT_SCT_Okae
CT_TSC_Okae.3	Sheridan et al.	CT_TSC_Okae
amnion_Term.1	Suzuki et al.	amnion_Term
amnion_Term.2	Suzuki et al.	amnion_Term
amnion_Term.3	Suzuki et al.	amnion_Term
amnion_Term.4	Suzuki et al.	amnion_Term
amnion_Term.5	Suzuki et al.	amnion_Term
amnion_Term.6	Suzuki et al.	amnion_Term
amnion_Term.7	Suzuki et al.	amnion_Term
amnion_Term.8	Suzuki et al.	amnion_Term
amnion_Term.9	Suzuki et al.	amnion_Term
amnion_Term.10	Suzuki et al.	amnion_Term
amnion_Term.11	Suzuki et al.	amnion_Term
amnion_Term.12	Suzuki et al.	amnion_Term
H9_Shao.1	Shao et al.	H9_Shao
H9_Shao.2	Shao et al.	H9_Shao
H9_Shao.3	Shao et al.	H9_Shao
H9_amnion.1	Shao et al.	H9_amnion
H9_amnion.2	Shao et al.	H9_amnion
H9_amnion.3	Shao et al.	H9_amnion
amnion_18w.1	Roost et al.	amnion
amnion_9w.1	Roost et al.	amnion
amnion_18w.2	Roost et al.	amnion
amnion_16w.2	Roost et al.	amnion
amnion_22w.1	Roost et al.	amnion
amnion_9w.2	Roost et al.	amnion
amnion_22w.2	Roost et al.	amnion
