"BT_EVT_Okae.1"	"BT_SCT_Okae.1"	"BT_TSC_Okae.1"	"BT_EVT_Okae.2"	"BT_SCT_Okae.2"	"BT_TSC_Okae.2"	"CT_EVT_Okae.1"	"CT_SCT_Okae.1"	"CT_TSC_Okae.1"	"CT_EVT_Okae.2"	"CT_SCT_Okae.2"	"CT_TSC_Okae.2"	"CT_EVT_Okae.3"	"CT_SCT_Okae.3"	"CT_TSC_Okae.3"	"n_H9.1"	"n_H9.2"	"nTE_D1.1"	"nTE_D1.2"	"nTE_D2.1"	"nTE_D2.2"	"nTE_D3.1"	"nTE_D3.2"	"nCT_P3.1"	"nCT_P3.2"	"nCT_P10.1"	"nCT_P10.2"	"nCT_P15.1"	"nCT_P15.2"	"cR_nCT_P15.1"	"cR_nCT_P15.2"	"nCT_P15_iPSC.1"	"nCT_P15_iPSC.2"	"CT_Okae.1"	"CT_Okae.2"	"nST.1"	"nST.2"	"nEVT.1"	"nEVT.2"	"pH9.1"	"pH9.2"	"pBAP_D1.1"	"pBAP_D1.2"	"pBAP_D2.1"	"pBAP_D2.2"	"pBAP_D3.1"	"pBAP_D3.2"	"CT_7wk.1"	"CT_7wk.2"	"CT_9wk.1"	"CT_11wk.1"	"H1_gt70_D8_BAP.1"	"H1_gt70_D8_BAP.2"	"H1_gt70_D8_BAP.3"	"H1_lt40_D8_BAP.1"	"H1_lt40_D8_BAP.2"	"H1_lt40_D8_BAP.3"	"H1_Yabe.1"	"H1_Yabe.2"	"H1_Yabe.3"	"H9_Shao.1"	"H9_Shao.2"	"H9_Shao.3"	"H9_amnion.1"	"H9_amnion.2"	"H9_amnion.3"	"hESC_H9_untr_0h.1"	"hESC_H9_untr_0h.2"	"hESC_H9_BMP4_8h.1"	"hESC_H9_BMP4_8h.2"	"hESC_H9_BMP4_16h.1"	"hESC_H9_BMP4_16h.2"	"hESC_H9_BMP4_24h.1"	"hESC_H9_BMP4_24h.2"	"hESC_H9_BMP4_48h.1"	"hESC_H9_BMP4_48h.2"	"hESC_H9_BMP4_72h.1"	"hESC_H9_BMP4_72h.2"
"BT_EVT_Okae.1"	0	13.8587749236007	31.0639385957875	10.7658055809299	18.6092379398457	24.4445222895782	13.0305265868372	11.9641208960433	25.1183638954802	12.2411600052986	22.0739787711166	18.9537972289774	8.26136754319349	8.53331911005965	22.1299495417487	38.6891603627249	39.3115410112405	27.91303166801	27.8934921797936	18.4696212504095	18.6012238490336	21.208989090542	21.1598762524512	20.2702860955685	20.7185219098505	21.6238878757785	20.957715068404	21.5198762099346	21.6614581261961	21.1408966579242	21.4198699835814	18.9293749074204	18.8701553177882	16.1682833412085	16.4199139935242	21.1411009931414	20.9205578363174	12.3300734451696	13.7930697438793	42.7994547448588	43.9923856133637	34.8666702590459	35.0501777973156	30.8577603913117	30.3071594474818	27.395583054272	26.6119020214913	7.71266270971789	6.83983608148474	6.23199352473043	9.49304281091811	15.0661482365847	14.7794158935797	14.1375726502779	16.602894689385	16.9498154120403	16.8518946978538	27.6761180120198	45.5992825709063	44.151803984835	26.4920488717789	25.72940477655	24.8296497969808	20.5546781413935	21.3758392140718	32.2919693305655	32.5496526231092	33.5924082001733	28.2110193631371	28.421545034993	26.3288856170281	26.9452069973623	22.0363961319732	20.7911453361486	25.5005504436067	28.6982595912329	35.3041501971565	35.3661995002103
"BT_SCT_Okae.1"	13.8587749236007	0	42.9545274518059	17.0978414289294	5.7347391604905	37.1164989958566	26.2780432453884	24.8000887853785	37.5877321115305	18.8150969419203	8.65843948176188	31.449572991938	19.590567232376	9.49175914727902	35.0395811042029	42.9293638630599	43.6392447121153	33.8352464806263	33.7716005167569	26.826686357558	26.9194288757807	32.3673626574046	32.17022827683	33.8648001856935	34.2013298634936	35.0855847514786	34.514455947456	34.7178618617477	34.8673964704513	34.3034092273149	34.6072559175524	31.9426714849755	31.7537161252506	29.9840665690158	30.2616112548621	21.856991152435	20.885760152923	21.5449593868958	22.2904298016002	46.9376309671151	48.0772303540934	40.4578570242663	40.5526398866249	37.6379787084348	36.9833628019375	35.1077481832448	34.421607199955	16.2520487121484	15.0065034834907	14.7735383183166	15.2224201611986	25.0208235814882	18.8244566207479	19.6915814064747	28.8222286602889	27.7755511594222	28.0796048040554	36.580278583553	50.2218686408482	48.9710750186838	34.0130098647004	33.9636379613297	32.9516893628847	30.7121714879551	31.4373749731067	40.9354407433282	39.4412103574095	40.3364586079002	35.7405138951036	35.9510580756685	34.468650586699	35.0884692207582	31.0188526253115	30.0592314166204	35.385008535159	37.2596405409597	43.2636261268153	43.0458852533474
"BT_TSC_Okae.1"	31.0639385957875	42.9545274518059	0	28.5068102527871	47.666227939839	7.60124939832857	24.105059181462	23.8079195393189	6.82700053209427	27.0470878863166	51.0163105340701	12.3862041416354	26.6742474928405	39.1452390529607	10.020172295238	29.408368165886	29.2990030875983	20.4256632676423	20.536094198361	19.3718613979065	19.3400003376827	10.8209712336678	11.0548326708815	20.4359302117067	21.5889834163423	23.4451653080306	22.7121592151982	24.9837986331137	24.6966831017179	26.6353842138815	26.594080606542	26.2187529710253	26.697418578279	21.7550547906238	20.7767752551992	49.5876513767657	49.8509708066404	36.5103800873648	37.9663404675034	31.4910015036392	32.3048779000173	22.7494879701169	23.0005007879935	24.1232685496462	24.5766488849152	26.9622670318651	26.8476654252774	28.9880335948727	30.3958372880576	32.4750527871214	32.8291208880134	31.2626772376339	40.7756036544617	38.7782885382089	23.3833691962571	29.1490196819601	27.2084342187925	12.3420472200323	32.7990219692998	31.1420121214665	20.9548147351627	18.1123216647293	18.7938769246137	17.3921089582198	21.3033272263404	33.8238672233656	21.9246029876319	22.623363901875	18.6040967922386	18.5422222253975	16.8040316327644	16.9826143938124	14.6067054318021	14.7922338442929	25.6691832444118	32.6972939122237	44.2769919020871	45.2679304130404
"BT_EVT_Okae.2"	10.7658055809299	17.0978414289294	28.5068102527871	0	20.3932422486959	23.7180587143781	15.3856794259876	12.7101855477099	23.0757026596306	2.0279381406479	23.7698483548728	18.7681659329466	7.30418099687213	17.415097594533	21.4835847469939	29.0717505788464	29.8289339812085	21.61828352321	21.516147739615	17.4230638009897	17.4822132442076	18.9643662415375	18.6352183647067	21.9577758132249	22.4448651354058	24.2664423863024	23.6437663386881	24.0955399991534	24.0453865590612	25.0517285638315	25.3673337945104	22.1012588086204	21.9737232108901	19.9120461061712	19.8217137741257	29.3818766847424	29.0780651098999	21.2985964257975	22.7137814377365	33.3722043946387	34.5695738247277	29.6208839150628	29.6717051395674	31.4211253584727	31.1350414170587	31.592630609878	30.9808598455014	14.1314820349668	14.2591996657825	15.9919801579151	17.5459403613419	24.4462898885236	25.4200971251497	24.8215579327781	23.1291327036117	25.5583764288204	24.7993210861484	22.818535224508	35.9354180303541	34.652364633932	17.3515043615123	17.3698154947776	16.3012418189783	22.1357976575365	25.4160574415384	39.3968410160216	23.3749044507137	24.3421193483963	19.7477079706594	19.9859407774012	18.4653954202997	18.9498453280683	17.0795773421124	16.0339997322857	31.2629014871337	36.0563474836927	44.8848204542619	45.1145488690563
"BT_SCT_Okae.2"	18.6092379398457	5.7347391604905	47.666227939839	20.3932422486959	0	41.9688905890875	30.1613997432062	28.598931067572	42.1775128589081	22.1361927022219	3.61408062366024	36.3771891804863	23.2693897705219	13.9844166147339	39.7661041047085	45.2902510445224	46.0814504843599	37.8553980560435	37.7658997326408	31.990971365656	32.0744250253798	37.2114305909302	36.9769212185079	37.9105648038337	38.109892602332	38.9653957397259	38.4925348796909	38.3818023754576	38.5276800089301	38.0578480156614	38.3838020998165	35.5458119597012	35.2731208189792	34.3804797409227	34.7182767558295	22.6675819114306	21.5629944065267	24.9211184841138	25.4280997342424	49.326862786001	50.4424336544759	44.6650993640393	44.7154210688052	43.0059090617532	42.3743993054661	40.802973506337	40.1260118064331	21.8724309952141	20.6302419692896	20.2025895713382	20.9149198409639	30.2893418817788	23.0756974992892	24.27073620144	34.2333122770389	33.1033618258718	33.494654025418	41.0595324757582	52.446161505477	51.3526367523009	36.8501249591759	37.228547319044	36.1597395872693	36.1992021430262	37.1167658655597	46.5338786767321	42.2342371076412	43.0640044439623	39.0218272012035	39.2423771045229	38.0130527297146	38.5565854372189	35.4722459923066	34.5418039441055	41.0922930743566	42.8511879693685	48.1007459459077	47.7882624301653
"BT_TSC_Okae.2"	24.4445222895782	37.1164989958566	7.60124939832857	23.7180587143781	41.9688905890875	0	17.2987484045055	17.3529016988986	3.35558184877733	22.6328623569058	45.3950831078758	5.71013941655945	20.6554311969247	32.3762813209889	2.98967432849259	32.213567933761	32.317732236786	21.3046851226602	21.403916293282	15.8774001853886	15.9067233213363	7.31562641217639	7.79890554589224	14.0707879826453	15.3707073911331	17.143426906066	16.2671199502816	18.7530801738089	18.534832878773	20.023734865596	19.9976606976431	19.6097463066638	20.1233170836216	14.4532035733778	13.4642265920472	42.2429409979849	42.541141934916	29.0711006283297	30.5133217767259	35.0470384799344	36.0182671000487	25.3118623006302	25.6004738449435	23.2665795008215	23.4242660122717	23.4372658654183	23.0977552459344	22.7667132213908	24.0471694854386	25.6824890215822	26.4532646043817	24.0799172499134	33.5022520064648	31.506743240015	16.2985261024079	22.0394139930636	20.1799075368114	14.1361237223113	36.7793213316404	35.1029035691914	20.9792675113867	18.2756550211632	18.5180611769526	13.1065849841479	16.3634140012944	29.1925442791736	24.0774261592767	24.9937530548435	19.8686006791908	19.9031212464226	17.5526267224448	17.9337751577754	13.366507145822	12.8711815118802	20.7421484139052	27.532953425759	38.1377323476508	39.0157519446115
"CT_EVT_Okae.1"	13.0305265868372	26.2780432453884	24.105059181462	15.3856794259876	30.1613997432062	17.2987484045055	0	2.85686373927071	17.3053592518432	15.7440967278789	33.7590203818081	13.8245579961835	8.31747192188507	20.3899467510188	14.3711628414165	38.0162173377642	38.613078652654	29.137097623884	29.1263673116082	21.1912153344939	21.3056515563326	17.7670469177974	17.8816398646787	7.78484772454635	7.9709802335727	9.19922912808897	8.63786628825954	9.0154970540189	9.05148811492277	9.68565535586101	9.99182193928407	6.92790568794921	6.95205747136461	5.870544430209	6.24228381456441	26.5650209188939	26.959312855466	13.9911275654404	15.3205572145768	42.047580053745	43.2049031745386	36.0916833933106	36.2853785228144	33.5850256824278	33.3008109677444	30.4904985132592	29.7571751509509	17.1577980697439	17.2932224825435	16.8428261983277	20.0929220690424	18.5410036637081	23.0132700758834	21.7644879592553	15.6497795647	18.3871735034248	17.7881475455857	25.671714031286	43.7449474210035	42.3665860622967	23.0993305527485	22.2092337098044	21.5235061230566	21.0993490851102	22.5861442381214	33.7243087607794	29.3288929848078	30.3702507145309	25.512488504574	25.7155183648736	23.5163713683114	23.853799741202	20.9630923996692	19.6641005116593	26.3144075064566	30.7657997005778	36.3430838141151	36.6358367747042
"CT_SCT_Okae.1"	11.9641208960433	24.8000887853785	23.8079195393189	12.7101855477099	28.598931067572	17.3529016988986	2.85686373927071	0	17.0511164177612	12.9904757690592	32.2116903838103	13.4824555308234	5.86986439906336	19.8142663578161	14.4183299445992	35.5865900488557	36.2162272038646	27.1036400436434	27.0762642494766	19.8682589903621	19.9736053348431	16.7907091719946	16.8140606406938	9.72548203851601	10.018789778106	11.6165471321436	11.049381604956	11.4233568276376	11.3957282232836	12.4153285663935	12.7252878722664	9.50828156869204	9.46406871374241	8.17225829938655	8.30704079442635	27.1669478788327	27.4402909272998	15.1802478623011	16.5833962547624	39.6875306161499	40.855381004894	34.3481920847286	34.5154027550133	32.8937628479049	32.6301864558735	30.5576748923356	29.8460472504294	16.2725728869001	16.4602710670052	16.4591255274336	19.5400606079249	19.6280807040564	23.6196554725085	22.4585499835233	16.7385242228629	19.6861652342944	18.9763165484972	24.1813273737208	41.4487373437734	40.0893684591685	20.7434559692852	19.9933071142539	19.2318396260223	20.6791734381461	22.7459052988563	34.8618161723937	27.1014663029624	28.1453062431717	23.3092393187899	23.523402163151	21.3912800882991	21.7340059203501	19.2080569507833	17.9033537450666	27.0949734659804	31.823864714269	38.2493821420651	38.54749495697
"CT_TSC_Okae.1"	25.1183638954802	37.5877321115305	6.82700053209427	23.0757026596306	42.1775128589081	3.35558184877733	17.3053592518432	17.0511164177612	0	21.8355073098214	45.6341085532368	7.16157122370504	20.3191435163533	33.3565641736783	3.82666478941202	29.9875297785213	30.1326464850871	20.6114871353726	20.6812626275698	17.0168580197265	17.0300256205995	7.73637097048224	8.02485720192379	14.05973752982	15.2463092180963	17.2942478906364	16.5133001974251	18.7222396126178	18.4435990377293	20.4366848655986	20.4426171390357	19.6886049285044	20.1377196860261	15.3290465056142	14.366255848838	43.0930766585703	43.3834842617144	30.0418241510146	31.487626446238	32.8758109235846	33.8450637538141	25.073615696561	25.3089922159255	25.3018303072378	25.5180093142531	26.3209743431722	25.9910955532313	24.1334307976978	25.3744443851359	27.0886553435425	28.0585819494394	26.4586843396495	35.2901945586725	33.3982120290027	18.9463378631542	24.6266101895401	22.8267303323846	13.4264020873959	34.3159937089208	32.707495478923	18.3726668917454	15.779914104752	16.0837322220297	15.4673826526124	19.2582181186013	32.5071513826475	21.3956853514051	22.2922853432895	17.5200750619643	17.5573158144545	15.3452336864108	15.6016113187104	12.7364977260403	12.2998309335412	23.9713472014091	30.773206752263	41.189940807595	42.0307367171403
"CT_EVT_Okae.2"	12.2411600052986	18.8150969419203	27.0470878863166	2.0279381406479	22.1361927022219	22.6328623569058	15.7440967278789	12.9904757690592	21.8355073098214	0	25.4490159123765	17.8622809496624	8.13230277057375	19.1887388481127	20.5087431534522	27.1610560798601	27.9048333410086	19.8355339479617	19.7273108005771	16.4595049694124	16.5047885667023	17.6464853487953	17.278093349396	21.8195591523357	22.3735459292802	24.338803106944	23.690627046388	24.2666870402105	24.1838377576716	25.3986804771567	25.7028697875035	22.4718332292685	22.3783099423278	20.0484274149566	19.8638956449474	31.2966329006648	31.0165535080542	22.7868464953676	24.2391606016667	31.4519670205814	32.6507382085349	27.9190084578575	27.9590770277412	30.500497272554	30.270235474696	31.2541019944777	30.6789782746158	14.84557867802	15.1797569668712	17.2033842287081	18.5235755123385	25.2332701555331	26.9131791338311	26.1966177447117	23.3038933740307	26.1354972006602	25.2320405620968	21.0520868472927	34.0096788578827	32.705319775778	15.4555217659	15.4136972888736	14.353222830076	21.4061047638403	25.0619531564343	39.4922653137082	21.4046307324791	22.3770991720992	17.7309033478449	17.9681120426231	16.4654264455912	16.9516115123643	15.3802107605774	14.3830022958598	31.1393233214653	36.2405811945836	45.5963264660176	45.8841881219215
