"BT_EVT_Okae.1"	"BT_SCT_Okae.1"	"BT_TSC_Okae.1"	"BT_EVT_Okae.2"	"BT_SCT_Okae.2"	"BT_TSC_Okae.2"	"CT_EVT_Okae.1"	"CT_SCT_Okae.1"	"CT_TSC_Okae.1"	"CT_EVT_Okae.2"	"CT_SCT_Okae.2"	"CT_TSC_Okae.2"	"CT_EVT_Okae.3"	"CT_SCT_Okae.3"	"CT_TSC_Okae.3"	"n_H9.1"	"n_H9.2"	"nTE_D1.1"	"nTE_D1.2"	"nTE_D2.1"	"nTE_D2.2"	"nTE_D3.1"	"nTE_D3.2"	"nCT_P3.1"	"nCT_P3.2"	"nCT_P10.1"	"nCT_P10.2"	"nCT_P15.1"	"nCT_P15.2"	"cR_nCT_P15.1"	"cR_nCT_P15.2"	"nCT_P15_iPSC.1"	"nCT_P15_iPSC.2"	"CT_Okae.1"	"CT_Okae.2"	"nST.1"	"nST.2"	"nEVT.1"	"nEVT.2"	"pH9.1"	"pH9.2"	"pBAP_D1.1"	"pBAP_D1.2"	"pBAP_D2.1"	"pBAP_D2.2"	"pBAP_D3.1"	"pBAP_D3.2"	"CT_7wk.1"	"CT_7wk.2"	"CT_9wk.1"	"CT_11wk.1"	"H1_gt70_D8_BAP.1"	"H1_gt70_D8_BAP.2"	"H1_gt70_D8_BAP.3"	"H1_lt40_D8_BAP.1"	"H1_lt40_D8_BAP.2"	"H1_lt40_D8_BAP.3"	"H1_Yabe.1"	"H1_Yabe.2"	"H1_Yabe.3"	"H9_Shao.1"	"H9_Shao.2"	"H9_Shao.3"	"H9_amnion.1"	"H9_amnion.2"	"H9_amnion.3"	"hESC_H9_untr_0h.1"	"hESC_H9_untr_0h.2"	"hESC_H9_BMP4_8h.1"	"hESC_H9_BMP4_8h.2"	"hESC_H9_BMP4_16h.1"	"hESC_H9_BMP4_16h.2"	"hESC_H9_BMP4_24h.1"	"hESC_H9_BMP4_24h.2"	"hESC_H9_BMP4_48h.1"	"hESC_H9_BMP4_48h.2"	"hESC_H9_BMP4_72h.1"	"hESC_H9_BMP4_72h.2"
"BT_EVT_Okae.1"	0	30.7461722849887	41.9283089699841	31.9283215824233	39.5378650524075	39.0789080744226	26.3910082698617	37.5581461365429	38.8985398403546	32.7440607791092	38.953649132615	35.9806500900556	28.9573081187894	29.3386485934795	36.6844079565099	48.7253030194643	49.3313208627143	39.0957347860176	39.0309285026631	35.5728061984402	35.6093920293409	34.8782589158286	34.8664980520999	30.6218747416916	31.287369750808	32.1051208141984	31.4438627417554	32.3812133820163	32.4729271984344	31.9700060855276	32.0482543418342	31.360568466827	31.3365530428987	35.0305528960728	34.6205618825819	37.261636818596	36.9379029816588	28.4737296558915	29.0276847037169	51.2420715924349	51.9995530089817	43.3002717449433	43.5224513635827	39.0589617533289	38.5472118490554	36.5955059293139	35.8936500363294	36.1538811472338	34.6541711770891	40.4746902358046	41.8801181696991	30.3163706754164	34.1219366615744	32.446902088393	31.3994421472312	29.2373006360003	28.7712336106522	38.6507555696753	53.4820258777628	52.0163620522648	41.4520720707536	40.3411706186667	39.5858542865033	37.3785698780972	37.3900460724179	43.9716379906231	44.9789477071665	45.946944701432	39.9592984292072	40.206628660044	39.2507037597538	39.6881343099065	37.2776071693123	36.5868388998279	39.5150814490889	41.0812877173546	47.2736090008618	47.6271430546905
"BT_SCT_Okae.1"	30.7461722849887	0	49.3532884556666	44.1949406394105	28.1298837720126	46.0837934765533	39.8335217681981	42.918885759765	47.1761425506171	46.6778509060991	25.9085256340252	41.9050631180452	47.0992624870897	24.5420216520619	43.6495206275706	53.0339302799987	53.6570798019738	43.1715630121449	43.0130051976898	39.6714444185481	39.5985754991837	42.834501194588	42.9080109001794	40.538032683447	41.1773291779364	41.1790322737781	40.5696334293268	41.2862640430021	41.5592373033862	41.2095114216275	41.6657863579273	39.4801845910176	39.3325275034896	40.7978659977327	40.4040979087384	36.3083638523385	35.5057095173292	37.8580237731206	38.3580356500174	55.119817442737	55.8779249190226	47.7815484184112	47.9427498985061	45.2472827349726	44.6424253238613	43.2601369599209	42.6755424150923	40.9823503107975	39.6810609554538	44.4197355779708	45.3173266555362	36.9802972118334	35.1197436505445	34.7818168914954	41.1646543757895	39.013089100915	38.8241037252072	45.1447148214815	57.0256564361241	55.4028722216442	46.3360473398817	47.2151542241318	46.1674562132393	43.7940055549154	44.1199946948974	51.695437504295	49.7701177745033	50.553704895526	45.8000083886991	46.1395990314935	45.5059201183553	45.7180653966306	43.8237458864869	42.9290522391815	46.9417145301109	48.246043266305	53.3762294300808	53.4813504013055
"BT_TSC_Okae.1"	41.9283089699841	49.3532884556666	0	47.403524584031	56.0761774058139	19.9762649174082	38.3657362320552	43.554674426903	22.7668921095331	47.9473164315921	57.7066577382019	23.3427609055784	48.2427587818854	47.103943853188	21.8928770199798	42.247564019623	42.4580993817779	33.9378457097366	33.9077455120272	35.2237717287859	35.1445782919797	31.1666998572689	31.3473522576441	32.297116875903	33.5238472723941	34.7507472714391	33.9626746391986	36.2042122231034	36.1340786976768	36.9765790650362	37.2394261179432	37.0253242419678	37.2493216751443	35.4771756299532	34.0634045261559	57.8315853683351	58.0418567942481	47.2290299391748	48.3786011296211	43.1433933528917	43.3886530312204	36.7528457707428	36.9359750666082	37.0812597443754	37.0354633895954	37.8502951713819	37.5032188670711	42.3096921180291	42.6646331354515	48.489746648512	48.3725059343269	40.9271131065522	50.2971124867233	47.9525780349617	36.7912428212657	38.6600411507506	36.9139952604694	29.7964220463165	43.2466659592937	40.8838040715909	38.3784833206138	38.1901336052338	38.2147292317934	37.4111846990223	39.0027703200649	47.6354359928766	38.7697307125854	39.4156509332507	36.0716429184605	36.3262503253515	36.0002894366475	35.4930103504098	35.6053790188283	35.2178946061666	43.0483955883133	46.9391699751106	55.660035032218	56.7812773326634
"BT_EVT_Okae.2"	31.9283215824233	44.1949406394105	47.403524584031	0	42.0475138014734	43.9421461083389	38.3516524232185	46.0422034122153	44.0844457680982	21.5259358513404	45.5806802760768	43.3382435779584	30.3418760070161	43.1693413250271	42.6104032381048	43.6327338964373	44.2471003092625	37.9200790469688	37.7792887205828	37.8722545216828	37.9145556184033	35.394174145366	35.094622565438	35.6462600239635	35.9063057589137	37.465259790576	37.3950869123041	36.4469976965708	36.2481909851587	37.5382743698652	37.7033304614516	37.2296257786509	36.8326451233571	44.4676651895543	44.0257225303362	46.7821750427852	46.2142060389008	34.3971965055191	34.6883759170187	49.3275496590207	49.7271167123876	44.6046726921499	44.5949372957394	43.6922729300595	43.1393208459185	44.989075307111	44.1214926446839	41.0178422306726	40.0048073697894	44.5843042763452	48.1493641999864	42.4139851007327	44.3469347938464	43.4551275153207	40.7505959015985	40.2858330913288	39.3696744734434	39.4551061526368	48.2197401155791	47.9700478730948	41.5218229992373	43.9354660524232	43.0445888025894	37.9363348745772	39.4829893716349	50.1664473704471	42.499397850564	43.2272647745679	38.1331103464101	38.3381402094367	38.1895858244485	38.428751498057	38.4089420677057	38.0757881559737	45.4907236020142	47.9605239395493	57.9731664297527	58.3697955083717
"BT_SCT_Okae.2"	39.5378650524075	28.1298837720126	56.0761774058139	42.0475138014734	0	48.7787350521896	43.7553197947415	46.5172716645688	50.2664662923513	48.716212269307	23.6070903592133	47.0220567317025	48.1586113287244	30.3008273024909	46.9088404977136	53.9279114686902	54.6939065943123	46.2153568568597	46.1001311165161	43.2979694826315	43.3389511061362	46.1002765817604	45.9004248804347	43.4507581042872	43.8930269828376	43.8064320032136	43.4381412968336	43.0332246907773	43.4329944910483	43.3446170034221	43.6825615440631	41.2258093218382	40.7498268220024	46.2975764962866	46.083431735383	37.9067332292215	36.966775082494	39.5122695048201	39.8674976392402	57.2088218595759	57.9661737269307	52.8591951810845	52.9601294443589	49.6569570464753	48.901175857187	48.7774844832274	48.0153269629983	41.7146234773452	40.1952568914401	42.0210731953447	45.1149782883631	41.2896705587291	37.1677379686782	37.3692348285415	45.5334008279081	43.5496957215632	43.3198819454102	49.410693617747	58.878120364573	57.7481321029146	47.8075658589321	50.5288779858177	49.4744584483871	45.2772986314727	45.9024404289143	54.4885206574233	50.8956520760554	51.5527651343831	47.5146999610969	47.962736883785	47.2077257757421	47.4506920324435	46.6649501450817	45.4191444183487	49.5960620506226	51.0788269950778	57.5742129118332	57.586305710851
"BT_TSC_Okae.2"	39.0789080744226	46.0837934765533	19.9762649174082	43.9421461083389	48.7787350521896	0	34.0600405551578	41.0422567437491	16.1402163480617	46.9507047754083	52.586818201286	16.3813071169031	45.4100400105943	41.1061608803435	12.2316107244352	43.6444780720478	44.1479712612851	34.2733897190034	34.2216526170446	33.5794175111086	33.3905114408191	30.8449546420972	30.9991901598057	28.2259013237593	29.5220587608481	30.0402056872565	29.2637335946093	31.1007521380048	31.2129530578829	31.4792983109342	32.051649628391	30.944889197722	31.0939010775643	32.7643742092996	31.3972786450559	50.6030764746328	50.9738345001912	40.8837616753641	42.1740802571295	45.032903807384	45.4402874992401	37.5052951927662	37.7505571224457	35.4149016254586	35.1358606864659	35.1885164829921	34.6933692529132	37.1880312302823	37.2396834397702	41.4078067386907	42.9330652965668	36.0334009638806	44.1958822528403	41.8857007380553	33.5954870515049	33.9816500055497	32.5588545666139	30.8419175333796	46.2631931233234	44.2507602057809	37.2136477202092	37.3078679800876	37.4324508293998	33.7038986777685	34.8021695357068	44.0020025214589	38.7969564665247	39.6832733681564	35.2706122272987	35.8315397615591	34.8567091103097	34.6697297599606	33.8093145710594	33.1618204114662	38.5814260190354	42.2742259500973	50.461347195117	51.54459640212
"CT_EVT_Okae.1"	26.3910082698617	39.8335217681981	38.3657362320552	38.3516524232185	43.7553197947415	34.0600405551578	0	25.5655582856677	31.6598684174762	40.5165728721048	45.0280738832972	35.280443520713	33.3392343577642	33.5740277745563	31.6176546011479	48.1082520323878	48.6448361100957	40.3372143095461	40.3527234821818	38.3316605406883	38.3916949730622	34.9168923163852	35.1457300591276	26.5922408859646	27.1443755895665	26.8960085483661	26.256086326857	27.2237619879974	27.4736504334156	27.5432546984481	27.6000006346437	26.1444433279418	25.8768189449555	31.3021794661732	30.9404704658691	39.8063564869798	39.7918045641011	32.0030434200645	32.8461292463313	50.120393541258	50.9116839114289	44.1141782528643	44.340482548235	41.5358108799324	41.4261010383458	39.4187442013431	38.8790945646465	40.2272037585486	39.2883635713292	42.5171137452898	45.0255450073483	32.7572852077496	39.9152369020857	38.0025360302545	31.210513199707	31.9199557413032	31.163143199399	37.4954244085993	53.0210874253277	51.754728621217	39.9185109958152	39.5070745385596	38.6047345650922	37.4564998030029	37.5344847016139	44.6855103897167	42.7901243240183	43.6505899218904	39.0854350370173	39.4782364853249	38.3374886190008	38.2649618149867	37.7471559413304	36.7734499805133	40.1758898851622	42.7594229779526	48.8926597220663	49.3612761764511
"CT_SCT_Okae.1"	37.5581461365429	42.918885759765	43.554674426903	46.0422034122153	46.5172716645688	41.0422567437491	25.5655582856677	0	38.5474497898214	47.3057923062272	47.6524594335222	43.6398817618976	40.4940180437644	38.5251567197069	39.9683128415348	50.8485121463415	51.1470022487359	43.9952942805806	44.1014330386638	44.6305041569661	44.5643699925362	41.8069004897131	42.1373768283803	34.7504211631954	35.4296199140091	34.5231107176693	33.7845698064183	34.6007422398765	34.9371890868679	35.8016575034645	35.8413384305547	33.6954069410919	33.6159403365993	35.7534408069084	35.7035832711419	43.721194492426	43.1658884236976	41.9109970005241	42.5465398886456	51.7767077486227	52.475079196627	46.1733789191847	46.3672154437023	46.0334414778433	45.9760499371071	44.2462389428962	43.8879757313573	45.6192149702533	44.9416646730864	47.6661967408113	49.1724079193114	39.0776780937821	47.0595150982511	45.571983092374	36.4553555738048	38.8039654137998	38.5594035523834	40.4599824869451	54.8560941880076	53.7959644957619	43.7853668726474	44.1268191718176	43.7337210826955	42.8460961075826	43.2494202249961	49.1337581080648	46.3124198070791	46.7619614779248	43.5427291430308	43.7565248892031	43.1234789798209	42.9353615448379	42.6028541418276	41.6023784886858	45.8813044076415	49.1832001297319	53.5517638158622	53.8135585595564
"CT_TSC_Okae.1"	38.8985398403546	47.1761425506171	22.7668921095331	44.0844457680982	50.2664662923513	16.1402163480617	31.6598684174762	38.5474497898214	0	45.9415412262824	53.2301054084199	19.1375114799701	45.1603139631799	43.2585054628968	15.9250217181645	42.0810020293856	42.5535881981768	34.5829821195371	34.5586163913063	35.2560613570541	35.1702466248252	31.79332491044	31.9021797442326	29.3135431137936	30.4744396933908	31.361455065817	30.4886624700794	32.1929880135451	32.2198308454064	32.8964672300719	33.1279788459995	31.7401271336739	31.7694439053162	34.0111953389156	32.5889276382368	51.4923415876465	51.5827185119093	42.0654327119747	43.1914480093314	43.5938197893764	43.9914679953181	37.6133003519988	37.8591290487109	36.9427158375702	36.9692987175909	37.6865077475359	37.3240431186242	38.9081117656072	38.9375322487931	42.631523947734	44.2585750683676	38.3077895171344	46.8539091955101	44.6203238210167	35.2645465589616	36.6942934220183	35.1539114634868	31.3004217592751	44.334765894849	42.7168191815005	37.4010430242367	37.5233986237543	37.472444686797	35.4508376215381	36.7786612717706	45.8006931299135	38.0649987953428	38.7814538793073	35.2008641346253	35.6303202781341	34.8451632517761	34.4503235254839	34.8380959657185	34.1956279716981	40.738522826869	44.3370921648312	53.2221896765362	54.3331000385366
"CT_EVT_Okae.2"	32.7440607791092	46.6778509060991	47.9473164315921	21.5259358513404	48.716212269307	46.9507047754083	40.5165728721048	47.3057923062272	45.9415412262824	0	47.1033117595142	44.3246119086128	29.3314204753535	47.0238380204276	45.2150898726058	44.8567839817207	45.4131183533453	40.3759891438229	40.1966743109516	41.3309426116746	41.4451450699592	37.6176725398544	37.3516252406075	38.6048339222148	39.1290783801727	40.8545460219741	40.3675296408052	40.235221156061	40.0363717683525	41.4577216154553	41.4755419655165	40.9110616218112	40.7859976150776	46.6246803075252	46.0918566233401	51.4167485426737	50.6976654525724	37.8120521149159	38.5558359519403	50.3116706030517	50.725649423819	46.256993576522	46.236222508962	45.3627072729442	44.9889292883447	46.5214026632618	45.7961795585865	43.6550862774617	42.5630570182848	49.8024403526173	51.4898210209219	44.4118260188244	48.3556646288437	47.0361878511006	41.932946965268	42.5787148025481	41.5743740350376	40.7080999993789	48.6211614493788	48.5171196356676	43.6631914980679	45.477303839437	44.992153422765	41.7699463744695	42.9346286743523	52.1988396333082	44.1470075005526	44.7621202409471	40.9923767669953	41.127197512021	41.0904123834303	41.3166559616778	42.1166572492917	41.8824800360823	48.4876284932832	50.9979391488753	59.8762922237738	60.538796082254
