name	authors	group.1	group
BT_EVT_Okae.1	Sheridan et al.	BT_EVT_Okae	BTS_EVT_Okae
BT_SCT_Okae.1	Sheridan et al.	BT_SCT_Okae	BTS_SCT_Okae
BT_TSC_Okae.1	Sheridan et al.	BT_TSC_Okae	BTS_TSC_Okae
BT_EVT_Okae.2	Sheridan et al.	BT_EVT_Okae	BTS_EVT_Okae
BT_SCT_Okae.2	Sheridan et al.	BT_SCT_Okae	BTS_SCT_Okae
BT_TSC_Okae.2	Sheridan et al.	BT_TSC_Okae	BTS_TSC_Okae
CT_EVT_Okae.1	Sheridan et al.	CT_EVT_Okae	CT_EVT_Okae
CT_SCT_Okae.1	Sheridan et al.	CT_SCT_Okae	CT_SCT_Okae
CT_TSC_Okae.1	Sheridan et al.	CT_TSC_Okae	CT_TSC_Okae
CT_EVT_Okae.2	Sheridan et al.	CT_EVT_Okae	CT_EVT_Okae
CT_SCT_Okae.2	Sheridan et al.	CT_SCT_Okae	CT_SCT_Okae
CT_TSC_Okae.2	Sheridan et al.	CT_TSC_Okae	CT_TSC_Okae
CT_EVT_Okae.3	Sheridan et al.	CT_EVT_Okae	CT_EVT_Okae
CT_SCT_Okae.3	Sheridan et al.	CT_SCT_Okae	CT_SCT_Okae
CT_TSC_Okae.3	Sheridan et al.	CT_TSC_Okae	CT_TSC_Okae
n_H9.1	Io et al.	n_H9	nH9_Io
n_H9.2	Io et al.	n_H9	nH9_Io
nTE_D1.1	Io et al.	nTE_D1	H9_nTE_D1_Io
nTE_D1.2	Io et al.	nTE_D1	H9_nTE_D1_Io
nTE_D2.1	Io et al.	nTE_D2	H9_nTE_D2_Io
nTE_D2.2	Io et al.	nTE_D2	H9_nTE_D2_Io
nTE_D3.1	Io et al.	nTE_D3	H9_nTE_D3_Io
nTE_D3.2	Io et al.	nTE_D3	H9_nTE_D3_Io
nCT_P3.1	Io et al.	nCT_P3	H9_nCT_P3_Io
nCT_P3.2	Io et al.	nCT_P3	H9_nCT_P3_Io
nCT_P10.1	Io et al.	nCT_P10	H9_nCT_P10_Io
nCT_P10.2	Io et al.	nCT_P10	H9_nCT_P10_Io
nCT_P15.1	Io et al.	nCT_P15	H9_nCT_P15_Io
nCT_P15.2	Io et al.	nCT_P15	H9_nCT_P15_Io
cR_nCT_P15.1	Io et al.	cR_nCT_P15	cR_nCT_P15_Io
cR_nCT_P15.2	Io et al.	cR_nCT_P15	cR_nCT_P15_Io
nCT_P15_iPSC.1	Io et al.	nCT_P15_iPSC	iPS_nCT_P15_Io
nCT_P15_iPSC.2	Io et al.	nCT_P15_iPSC	iPS_nCT_P15_Io
CT_Okae.1	Io et al.	CT_Okae	CT_TSC_Okae
CT_Okae.2	Io et al.	CT_Okae	CT_TSC_Okae
nST.1	Io et al.	nST	H9_nSCT_Io
nST.2	Io et al.	nST	H9_nSCT_Io
