genes	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	FoldChage	Log2FC
TFAP2A	2.08E-23	1.231831098	0.973	0.359	4.10E-19	E-AM	TFAP2A	3.427499882	1.777156616
CDX21	2.09E-22	0.766127845	0.838	0.231	4.12E-18	E-AM	CDX2	2.151419475	1.105288843
TBX3	7.14E-22	0.982749902	1	0.426	1.41E-17	E-AM	TBX3	2.671793319	1.41780841
HAND11	5.64E-19	1.560341278	0.973	0.469	1.11E-14	E-AM	HAND1	4.760445603	2.251096624
TMEM54	3.35E-18	1.074481677	0.919	0.467	6.60E-14	E-AM	TMEM54	2.928474611	1.550149387
ANXA31	1.30E-16	0.84920783	0.865	0.376	2.56E-12	E-AM	ANXA3	2.337794188	1.225147925
GATA3	2.14E-16	0.795700357	0.973	0.618	4.22E-12	E-AM	GATA3	2.215992439	1.147952959
HOXA10	2.26E-16	0.802439986	0.703	0.213	4.45E-12	E-AM	HOXA10	2.230977848	1.157676188
KRT8	3.50E-16	1.357589972	1	0.958	6.89E-12	E-AM	KRT8	3.886814673	1.95858832
FAM84B	2.99E-15	0.957433114	0.865	0.468	5.90E-11	E-AM	FAM84B	2.605001143	1.381284006
ID21	3.13E-15	1.132659082	1	0.766	6.16E-11	E-AM	ID2	3.103899059	1.634081641
SGK1	3.16E-15	0.860466285	0.946	0.71	6.23E-11	E-AM	SGK1	2.364262857	1.241390442
KRT18	4.63E-15	1.465008423	0.973	0.921	9.11E-11	E-AM	KRT18	4.327579691	2.113560387
BAMBI1	6.27E-15	1.114495337	0.973	0.77	1.24E-10	E-AM	BAMBI	3.048029563	1.607876896
WLS	6.46E-15	0.879109435	0.973	0.631	1.27E-10	E-AM	WLS	2.408753599	1.268286822
EZR	1.52E-14	0.936591989	1	0.974	2.99E-10	E-AM	EZR	2.551271823	1.351216618
RAB11FIP1	2.24E-14	0.868384272	0.973	0.752	4.42E-10	E-AM	RAB11FIP1	2.383057369	1.252813683
DOCK9	4.91E-14	0.749873913	0.919	0.561	9.67E-10	E-AM	DOCK9	2.116733107	1.081839376
ABHD121	6.60E-14	0.901982574	1	0.897	1.30E-09	E-AM	ABHD12	2.464484293	1.301285786
SH3KBP1	1.70E-13	0.749616537	1	0.73	3.36E-09	E-AM	SH3KBP1	2.116188381	1.08146806
CLDN4	2.44E-13	0.750753932	0.784	0.322	4.81E-09	E-AM	CLDN4	2.118596692	1.083108975
ATG10	4.87E-13	0.966911659	0.946	0.706	9.59E-09	E-AM	ATG10	2.629810155	1.394958655
