CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
fFB1	15.3461472743809	22	11.796338028169	Fetal Fibroblasts Cluster 1	LTBP1;CCDC80;BAMBI;COL1A1;MDK;SPARC;FN1;OLFML3;CCND2;TGFBI;LOXL1;COL5A1;MAP1B;SERPINE2;CDH11;FKBP10;IGFBP3;COL1A2;CTHRC1;COL3A1;DIO3;COL5A2
fFB2	13.5741834065051	20	11.0347826086957	Fetal Fibroblasts Cluster 2	NID2;BAMBI;PTN;COL1A1;AREG;SPARC;CALD1;LOXL1;COL5A1;MAP1B;EDNRB;FKBP10;COL1A2;CTHRC1;FILIP1L;COL3A1;CADM1;ARSI;COL4A1;COL5A2
dP1	11.9458334900001	16	12.8235789473684	Decidua Perivascular cells Cluster 1	ACTA2;COL1A1;CPE;SPARC;IGFBP5;WNT6;CALD1;MAP1B;MFGE8;IGFBP7;COL1A2;AXL;FILIP1L;TCIM;COL18A1;COL4A1
dP2	7.60876899289995	9	16.3157142857143	Decidua Perivascular cells Cluster 2	AEBP1;ACTA2;COL1A1;RND3;APOE;COL1A2;FILIP1L;COL18A1;SELENOM
dS2	6.49464398205759	10	10.152	Stromal cells Cluster 2	FBLN1;MMP2;TIMP3;IGFBP2;IGFBP5;RAMP1;LUM;IGFBP3;PAPPA;TGM2
EVT	6.48844457011665	12	7.614	Extravillous trophoblast	TFPI;PTN;FN1;PAPPA2;KRT17;LOXL1;C1QTNF6;KRT7;SERPINE2;TPM1;KRT19;MFAP5
Endo..m.	5.47237746640976	11	6.75435483870968	Endothelial cells (Maternal)	LMCD1;CPE;SPTBN1;CCN2;PODXL;APP;PLK2;PRSS23;IGFBP7;TCIM;EMP2
SCT	4.16616104350154	12	4.47882352941176	Syncytiotrophoblast	TFPI2;INHBA;KRT17;ANXA1;CGA;KRT7;BTG3;SPINT2;KRT19;P2RY6;CST6;MFAP5
dS3	3.61124079845938	8	5.85692307692308	Stromal cells Cluster 3	MGST1;CD59;TIMP3;CRYAB;IGFBP2;RAMP1;LUM;SELENOM
Endo.L	3.20178082235931	7	5.85692307692308	Endothelial cells (L)	TFPI;CD9;SPTBN1;APP;PRSS23;LAYN;EMP2
dS1	1.91648498872018	4	6.0912	Stromal cells Cluster 1	ACTA2;IGFBP5;RAMP1;TAGLN
dM3	1.69821115246637	4	5.16203389830508	Decidual macrophages Cluster 3	GRN;CAPG;SPP1;APOE
Endo..f.	1.24269414807905	5	3.09512195121951	Endothelial cells (Fetal)	TFPI2;SPTBN1;TCIM;DIO3;SPTAN1
NK.CD16.	1.15499944970812	2	7.25142857142857	Blood Natural Killer Cells CD16-	PLAC8;HOPX
DC1	0.583758677066592	2	3.3104347826087	Dendritic cells Cluster 1	CD74;CADM1
Epi2	0.581978316093666	4	2.05783783783784	Epithelial glandular cells Cluster 2	MGST1;FBLN1;GABRP;CRYAB
dNK3	0.526135236904243	2	2.82	Decidual natural killer Cluster 3	AREG;HOPX
NK.CD16..1	0.4925265455089	2	2.538	Blood Natural Killer Cells CD16+	PLAC8;HOPX
dNK1	0.4925265455089	2	2.49639344262295	Decidual natural killer Cluster 1	IL32;HOPX
VCT	0.421239733889944	3	1.78453125	Villous cytotrophoblast	KRT7;SPINT2;P2RY6
Epi1	0.24942446702496	2	1.55387755102041	Epithelial glandular cells Cluster 1	CRYAB;ARID5B
dNK2	0.199804693576034	1	1.7706976744186	Decidual natural killer Cluster 2	HOPX
dNK.p	0.127307634617122	1	1.15363636363636	Decidual natural killer proliferative	HOPX
Plasma	0.127307634617122	1	1.22806451612903	Plasma	PLAC8
MO	0.127307634617122	1	1.1896875	Macrophages	S100A9
dM2	0.123735947004304	1	0.94	Decidual macrophages Cluster 2	CD74
HB	0.123735947004304	1	0.976153846153846	Hofbauer cells	SPP1
dM1	0.123735947004304	1	1.0575	Decidual macrophages Cluster 1	TREM1
Tcells	0	0	0	T cells	
DC2	0	0	0	Dendritic cells Cluster 2	
Granulocytes	0	0	0	Granulocytes	
ILC3	0	0	0	Innate lymphocyte cells 3	
