Name	days	Cell	Lineage	group
D10_E1_L1	day.10	E1	L1	D10.STB
D10_E1_L2	day.10	E1	L2	D10.STB
D10_E1_L3	day.10	E1	L3	D10.STB
D10_E1	day.10	E1	X	D10.STB
D10_E1_S1	day.10	E1	S1	D10.CTB
D10_E1_S2	day.10	E1	S2	D10.CTB
D10_E1_S3	day.10	E1	S3	D10.CTB
D10_E1_S4	day.10	E1	S4	D10.CTB
D10_E1_S6	day.10	E1	S6	D10.CTB
D10_E1_S7	day.10	E1	S7	D10.CTB
D10_E1_S8	day.10	E1	S8	D10.CTB
D10_E2_L10	day.10	E2	L10	D10.STB
D10_E2_L11	day.10	E2	L11	D10.STB
D10_E2_L1	day.10	E2	L1	D10.STB
D10_E2_L2	day.10	E2	L2	D10.STB
D10_E2_L3	day.10	E2	L3	D10.STB
D10_E2_L4	day.10	E2	L4	D10.STB
D10_E2_L5	day.10	E2	L5	D10.STB
D10_E2_L6	day.10	E2	L6	D10.STB
D10_E2_L7	day.10	E2	L7	D10.STB
D10_E2_L8	day.10	E2	L8	D10.STB
D10_E2_L9	day.10	E2	L9	D10.STB
D10_E2_S1	day.10	E2	S1	D10.CTB
D10_E2_S2	day.10	E2	S2	D10.CTB
D10_E2_S3	day.10	E2	S3	D10.CTB
D10_E2_S4	day.10	E2	S4	D10.CTB
D10_E2_S5	day.10	E2	S5	D10.CTB
D10_E2_S6	day.10	E2	S6	D10.CTB
D10_E2_S7	day.10	E2	S7	D10.CTB
D10_E2_S8	day.10	E2	S8	D10.CTB
D10_E3_S1	day.10	E3	S1	D10.CTB
D10_E3_S2	day.10	E3	S2	D10.CTB
D10_E3_S3	day.10	E3	S3	D10.CTB
D10_E3_S4	day.10	E3	S4	D10.CTB
D10_E3_S5	day.10	E3	S5	D10.CTB
D10_E3_S6	day.10	E3	S6	D10.CTB
D10_E3_S7	day.10	E3	S7	D10.CTB
D10_E3_S8	day.10	E3	S8	D10.CTB
D10_E4_L1	day.10	E4	L1	D10.STB
D10_E4_L2	day.10	E4	L2	D10.STB
D10_E4_L3	day.10	E4	L3	D10.STB
D10_E4_L4	day.10	E4	L4	D10.STB
D10_E4_L5	day.10	E4	L5	D10.STB
D10_E4_L6	day.10	E4	L6	D10.STB
D10_E4_S1	day.10	E4	S1	D10.CTB
D10_E4_S2	day.10	E4	S2	D10.CTB
D10_E4_S3	day.10	E4	S3	D10.CTB
D10_E4_S4	day.10	E4	S4	D10.CTB
D12_E3_S10	day.12	E3	S10	D12.CTB
D12_E3_S11	day.12	E3	S11	D12.CTB
D12_E3_S12	day.12	E3	S12	D12.CTB
D12_E3_S13	day.12	E3	S13	D12.CTB
D12_E3_S14	day.12	E3	S14	D12.CTB
D12_E3_S15	day.12	E3	S15	D12.CTB
D12_E3_S16	day.12	E3	S16	D12.CTB
D12_E3_S17	day.12	E3	S17	D12.CTB
D12_E3_S18	day.12	E3	S18	D12.CTB
D12_E3_S19	day.12	E3	S19	D12.CTB
D12_E3_S1	day.12	E3	S1	D12.CTB
D12_E3_S20	day.12	E3	S20	D12.CTB
D12_E3_S21	day.12	E3	S21	D12.CTB
D12_E3_S22	day.12	E3	S22	D12.CTB
D12_E3_S23	day.12	E3	S23	D12.CTB
D12_E3_S24	day.12	E3	S24	D12.CTB
D12_E3_S2	day.12	E3	S2	D12.CTB
D12_E3_S3	day.12	E3	S3	D12.CTB
D12_E3_S4	day.12	E3	S4	D12.CTB
D12_E3_S5	day.12	E3	S5	D12.CTB
D12_E3_S6	day.12	E3	S6	D12.CTB
D12_E3_S7	day.12	E3	S7	D12.CTB
D12_E3_S8	day.12	E3	S8	D12.CTB
D12_E3_S9	day.12	E3	S9	D12.CTB
D12_E4_EVT10	day.12	E4	EVT10	D12.MTB
D12_E4_EVT11	day.12	E4	EVT11	D12.MTB
D12_E4_EVT12	day.12	E4	EVT12	D12.MTB
D12_E4_EVT13	day.12	E4	EVT13	D12.MTB
D12_E4_EVT1	day.12	E4	EVT1	D12.MTB
D12_E4_EVT2	day.12	E4	EVT2	D12.MTB
D12_E4_EVT3	day.12	E4	EVT3	D12.MTB
D12_E4_EVT4	day.12	E4	EVT4	D12.MTB
D12_E4_EVT5	day.12	E4	EVT5	D12.MTB
D12_E4_EVT6	day.12	E4	EVT6	D12.MTB
D12_E4_EVT7	day.12	E4	EVT7	D12.MTB
D12_E4_EVT8	day.12	E4	EVT8	D12.MTB
D12_E4_L1	day.12	E4	L1	D12.STB
D12_E4_L2	day.12	E4	L2	D12.STB
D12_E4_L3	day.12	E4	L3	D12.STB
D12_E4_L4	day.12	E4	L4	D12.STB
D12_E4_L5	day.12	E4	L5	D12.STB
D12_E4_L6	day.12	E4	L6	D12.STB
D12_E4_S1	day.12	E4	S1	D12.CTB
D12_E4_S2	day.12	E4	S2	D12.CTB
D12_E4_S3	day.12	E4	S3	D12.CTB
D12_E4_S4	day.12	E4	S4	D12.CTB
D12_E6_L1	day.12	E6	L1	D12.STB
D12_E6_L2	day.12	E6	L2	D12.STB
D12_E6_L3	day.12	E6	L3	D12.STB
D12_E6_L4	day.12	E6	L4	D12.STB
D12_E6_L5	day.12	E6	L5	D12.STB
D12_E6_L6	day.12	E6	L6	D12.STB
D12_E6_S1	day.12	E6	S1	D12.CTB
D12_E6_S2	day.12	E6	S2	D12.CTB
D12_E6_S3	day.12	E6	S3	D12.CTB
D12_E6_S4	day.12	E6	S4	D12.CTB
