"Log10PValue","Tissue.Specific.Genes","fold.change","Tissue"
"SCT",70.5946436096075,70,20.0356369541682,"Syncytiotrophoblast"
"VCT",13.0984623247677,21,9.57953891871166,"Villous cytotrophoblast"
"EVT",9.59401579985427,17,8.27185582822086,"Extravillous trophoblast"
"dM1",1.20245074153804,5,4.05483128834356,"Decidual macrophages Cluster 1"
"Epi1",0.767824134514786,5,2.97905972204833,"Epithelial glandular cells Cluster 1"
"NK.CD16.",0.577737973806052,2,5.56091148115688,"Blood Natural Killer Cells CD16-"
"NK.CD16..1",0.480691850984419,3,2.91947852760736,"Blood Natural Killer Cells CD16+"
"dM3",0.480691850984419,3,2.96896121451596,"Decidual macrophages Cluster 3"
"Granulocytes",0.480691850984419,2,3.89263803680982,"Granulocytes"
"Epi2",0.449586719143472,5,1.97262062676173,"Epithelial glandular cells Cluster 2"
"Endo..m.",0.321832293020664,4,1.88353453394023,"Endothelial cells (Maternal)"
"dS3",0.153012985928059,3,1.68431453515809,"Stromal cells Cluster 3"
"Endo..f.",0.061688833468187,3,1.42413586712554,"Endothelial cells (Fetal)"
"HB",0.0531839816615959,2,1.49716847569608,"Hofbauer cells"
"Endo.L",0.0328543911104491,2,1.28328726488236,"Endothelial cells (L)"
"fFB1",0.0328543911104491,3,1.23358247645382,"Fetal Fibroblasts Cluster 1"
"dNK2",0.00545445844412082,1,1.35789698958482,"Decidual natural killer Cluster 2"
"dM2",0,1,0.720858895705522,"Decidual macrophages Cluster 2"
"dNK.p",0,1,0.884690462911322,"Decidual natural killer proliferative"
"dS1",0,0,0,"Stromal cells Cluster 1"
"dNK3",0,1,1.08128834355828,"Decidual natural killer Cluster 3"
"Plasma",0,0,0,"Plasma"
"dNK1",0,1,0.957206074625365,"Decidual natural killer Cluster 1"
"dS2",0,1,0.778527607361963,"Stromal cells Cluster 2"
"Tcells",0,0,0,"T cells"
"MO",0,0,0,"Macrophages"
"fFB2",0,0,0,"Fetal Fibroblasts Cluster 2"
"DC1",0,0,0,"Dendritic cells Cluster 1"
"dP1",0,1,0.614627058443655,"Decidua Perivascular cells Cluster 1"
"DC2",0,0,0,"Dendritic cells Cluster 2"
"dP2",0,0,0,"Decidua Perivascular cells Cluster 2"
"ILC3",0,1,1.21644938650307,"Innate lymphocyte cells 3"
