Cluster	CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
cluster1	dNK.p	33.3324241115187	20	94.5603576751118	Decidual natural killer proliferative	ASPM;TPX2;BIRC5;UBE2S;SMC4;CDC20;CENPF;TOP2A;NUSAP1;CCNA2;MKI67;CCNB2;HMGB2;MAD2L1;PCLAF;PLK1;CDK1;RRM2;UBE2C;AURKB
cluster1	EVT	2.02205357091259	4	10.4016393442623	Extravillous trophoblast	CCNB1;TUBA1C;RRM2;JPT1
cluster1	Granulocytes	0.00880239932320605	1	10.4016393442623	Granulocytes	PCLAF
cluster1	Endo.L	0	1	3.42911187173482	Endothelial cells (L)	
cluster1	Endo..f.	0	1	2.53698520591763	Endothelial cells (Fetal)	
cluster1	VCT	0	1	2.43788422131148	Villous cytotrophoblast	
cluster1	SCT	0	1	1.52965284474446	Syncytiotrophoblast	
cluster1	dM3	0	1	5.28896915809947	Decidual macrophages Cluster 3	
cluster1	fFB2	0	1	2.26122594440485	Fetal Fibroblasts Cluster 2	
cluster10	fFB1	15.3461472743809	22	11.796338028169	Fetal Fibroblasts Cluster 1	LTBP1;CCDC80;BAMBI;COL1A1;MDK;SPARC;FN1;OLFML3;CCND2;TGFBI;LOXL1;COL5A1;MAP1B;SERPINE2;CDH11;FKBP10;IGFBP3;COL1A2;CTHRC1;COL3A1;DIO3;COL5A2
cluster10	fFB2	13.5741834065051	20	11.0347826086957	Fetal Fibroblasts Cluster 2	NID2;BAMBI;PTN;COL1A1;AREG;SPARC;CALD1;LOXL1;COL5A1;MAP1B;EDNRB;FKBP10;COL1A2;CTHRC1;FILIP1L;COL3A1;CADM1;ARSI;COL4A1;COL5A2
cluster10	dP1	11.9458334900001	16	12.8235789473684	Decidua Perivascular cells Cluster 1	ACTA2;COL1A1;CPE;SPARC;IGFBP5;WNT6;CALD1;MAP1B;MFGE8;IGFBP7;COL1A2;AXL;FILIP1L;TCIM;COL18A1;COL4A1
cluster10	dP2	7.60876899289995	9	16.3157142857143	Decidua Perivascular cells Cluster 2	AEBP1;ACTA2;COL1A1;RND3;APOE;COL1A2;FILIP1L;COL18A1;SELENOM
cluster10	dS2	6.49464398205759	10	10.152	Stromal cells Cluster 2	FBLN1;MMP2;TIMP3;IGFBP2;IGFBP5;RAMP1;LUM;IGFBP3;PAPPA;TGM2
cluster10	EVT	6.48844457011665	12	7.614	Extravillous trophoblast	TFPI;PTN;FN1;PAPPA2;KRT17;LOXL1;C1QTNF6;KRT7;SERPINE2;TPM1;KRT19;MFAP5
cluster10	Endo..m.	5.47237746640976	11	6.75435483870968	Endothelial cells (Maternal)	LMCD1;CPE;SPTBN1;CCN2;PODXL;APP;PLK2;PRSS23;IGFBP7;TCIM;EMP2
cluster10	SCT	4.16616104350154	12	4.47882352941176	Syncytiotrophoblast	TFPI2;INHBA;KRT17;ANXA1;CGA;KRT7;BTG3;SPINT2;KRT19;P2RY6;CST6;MFAP5
cluster10	dS3	3.61124079845938	8	5.85692307692308	Stromal cells Cluster 3	MGST1;CD59;TIMP3;CRYAB;IGFBP2;RAMP1;LUM;SELENOM
cluster10	Endo.L	3.20178082235931	7	5.85692307692308	Endothelial cells (L)	TFPI;CD9;SPTBN1;APP;PRSS23;LAYN;EMP2
cluster10	dS1	1.91648498872018	4	6.0912	Stromal cells Cluster 1	ACTA2;IGFBP5;RAMP1;TAGLN
cluster10	dM3	1.69821115246637	4	5.16203389830508	Decidual macrophages Cluster 3	GRN;CAPG;SPP1;APOE
cluster10	Endo..f.	1.24269414807905	5	3.09512195121951	Endothelial cells (Fetal)	TFPI2;SPTBN1;TCIM;DIO3;SPTAN1
cluster10	NK.CD16.	1.15499944970812	2	7.25142857142857	Blood Natural Killer Cells CD16-	PLAC8;HOPX
cluster10	DC1	0.583758677066592	2	3.3104347826087	Dendritic cells Cluster 1	CD74;CADM1
cluster10	Epi2	0.581978316093666	4	2.05783783783784	Epithelial glandular cells Cluster 2	MGST1;FBLN1;GABRP;CRYAB
cluster10	dNK3	0.526135236904243	2	2.82	Decidual natural killer Cluster 3	AREG;HOPX
cluster10	NK.CD16..1	0.4925265455089	2	2.538	Blood Natural Killer Cells CD16+	PLAC8;HOPX
cluster10	dNK1	0.4925265455089	2	2.49639344262295	Decidual natural killer Cluster 1	IL32;HOPX
cluster10	VCT	0.421239733889944	3	1.78453125	Villous cytotrophoblast	KRT7;SPINT2;P2RY6
cluster10	Epi1	0.24942446702496	2	1.55387755102041	Epithelial glandular cells Cluster 1	CRYAB;ARID5B
cluster10	dNK2	0.199804693576034	1	1.7706976744186	Decidual natural killer Cluster 2	HOPX
cluster10	dNK.p	0.127307634617122	1	1.15363636363636	Decidual natural killer proliferative	HOPX
cluster10	Plasma	0.127307634617122	1	1.22806451612903	Plasma	PLAC8
cluster10	MO	0.127307634617122	1	1.1896875	Macrophages	S100A9
cluster10	dM2	0.123735947004304	1	0.94	Decidual macrophages Cluster 2	CD74
cluster10	HB	0.123735947004304	1	0.976153846153846	Hofbauer cells	SPP1
cluster10	dM1	0.123735947004304	1	1.0575	Decidual macrophages Cluster 1	TREM1
cluster11	dS2	2.28926341847855	3	28.2	Stromal cells Cluster 2	PLPP1;ID4;P2RY14
cluster11	dS1	0.170702243936235	1	14.1	Stromal cells Cluster 1	PLPP1
cluster11	Plasma	0.170702243936235	1	11.3709677419355	Plasma	UGCG
cluster11	dP2	0.170702243936235	1	16.7857142857143	Decidua Perivascular cells Cluster 2	P2RY14
cluster11	dS3	0.0638329300419014	1	6.77884615384615	Stromal cells Cluster 3	PLPP1
cluster11	Endo..m.	0.0638329300419014	1	5.68548387096774	Endothelial cells (Maternal)	UGCG
cluster12	dS3	0.959242252895141	4	6.4788972089857	Stromal cells Cluster 3	PLPP1;RASGRP2;RGCC;DEPTOR
cluster12	dS1	0.244866580567961	2	6.73805309734513	Stromal cells Cluster 1	PLPP1;PEMT
cluster12	Epi2	0.207507571291617	3	3.41455393446544	Epithelial glandular cells Cluster 2	SLC6A6;DEPTOR;ASRGL1
cluster12	Endo..m.	0.0651787080430398	2	2.71695689409078	Endothelial cells (Maternal)	ID1;CD320
cluster12	DC2	0.0651787080430398	1	4.81289506953224	Dendritic cells Cluster 2	SAMHD1
cluster12	Granulocytes	0.0651787080430398	1	5.61504424778761	Granulocytes	PCLAF
cluster12	Epi1	0.0651787080430398	2	3.43778219252303	Epithelial glandular cells Cluster 1	DEPTOR;ASRGL1
cluster12	Endo.L	0	1	1.85111348828163	Endothelial cells (L)	
cluster12	EVT	0	1	1.4037610619469	Extravillous trophoblast	
cluster12	dNK.p	0	1	2.55229283990346	Decidual natural killer proliferative	
cluster12	dS2	0	1	2.24601769911504	Stromal cells Cluster 2	
cluster12	fFB2	0	1	1.22066179299731	Fetal Fibroblasts Cluster 2	
cluster13	fFB1	17.1272242211397	30	8.29170901698853	Fetal Fibroblasts Cluster 1	COPZ2;VCAN;CCDC80;PCOLCE;OGN;COL1A1;PMP22;SPARC;FN1;CCND2;LOXL1;GSTM3;FST;PDGFRA;CKAP4;ENPP2;FBLN5;CDH11;COL6A2;ADAMTS5;CREB3L1;PLPP3;ACTG2;COL1A2;COL3A1;EFEMP2;DLK1;MMP23B;COL5A2;FXYD1
cluster13	dP2	8.23809885475728	12	11.2135493372607	Decidua Perivascular cells Cluster 2	AEBP1;ACTA2;COL1A1;RND3;PRRX1;FGF7;COL6A2;ACTG2;COL1A2;BGN;SELENOM;FXYD1
cluster13	dS2	8.22365606425262	15	7.84948453608248	Stromal cells Cluster 2	DCN;VCAN;PCOLCE;RBP1;IGFBP2;C3;FST;PDGFRA;FBLN5;IGFBP4;COL6A2;ZEB1;ADAMTS5;PAPPA;FXYD1
cluster13	fFB2	6.93753308089345	18	5.11922904527118	Fetal Fibroblasts Cluster 2	VCAN;COL1A1;SPARC;LOXL1;CKAP4;COL6A2;ACTG2;COL1A2;COL3A1;LAMB2;EFEMP2;CD248;NR2F1;BGN;DLK1;MMP23B;COL5A2;FXYD1
cluster13	dS3	5.59813296868832	14	5.28330689928628	Stromal cells Cluster 3	DCN;FERMT2;OGN;CRYAB;RBP1;IGFBP2;FBLN5;IGFBP4;ABI3BP;ADAMTS5;CITED2;CD248;SELENOM;FXYD1
cluster13	dP1	5.34576953373448	13	5.37069994574064	Decidua Perivascular cells Cluster 1	ACTA2;COL1A1;SPARC;PRRX1;COL6A2;FAM13C;IGFBP7;EBF1;COL1A2;SDC2;BGN;SLIT3;FXYD1
cluster13	dS1	2.92768375494386	7	5.49463917525773	Stromal cells Cluster 1	MEDAG;PCOLCE;ACTA2;C3;PDGFRA;COL6A2;FXYD1
